algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.349105283865966,0.7987983135382334,1.1733257869879405,nan,18.973655203114387,115.33947267532349,1000.0,0.0,nan,0,31207,0,219,3912.7508255295497,208.25247594022701,0.9415290951083407,0.9232106326836054,0.5812872142895408,0.6088897992670536,212.3601352857507,208.2524729156494,212.3601352857507,208.2524729156494,177.5571056863536,2546.575612258911,2.3168613839866734,3.992856412889349,0.9415290951083407,0.9232106326836054,2.987259395547744,1.160559339516416,0.6060428958837227,0.9250999808260669,93.0695553894043,263.2875283504501
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.395081353172453,0.8029023118813833,1.0935948443412782,nan,14.833242688860212,113.481626663208,1000.0,0.0,nan,0,31106,0,210,4965.843849307953,208.27451539696057,0.8566317384659531,0.9230260681110396,0.6962394267320633,0.5951898095011711,192.91434260777064,208.27451026916503,192.91434260777064,208.27451026916503,179.72476959228516,1910.4549947357177,2.3548569636275594,4.025419183599475,0.8566317384659531,0.9230260681110396,3.0230818516163254,1.1576693243385672,0.6018005321237528,0.9186825138351927,88.7114057006836,222.3534339394069
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.453113052472369,0.7995059801638127,1.1869330283006032,nan,17.602448489930893,112.40318092346192,1000.0,0.0,nan,0,31008,0,216,3585.538121517319,207.54311234224826,0.8710638715047239,0.9198895242736356,0.6609505100382699,0.5858929079771041,196.22730678982205,207.54310775756835,196.22730678982205,207.54310775756835,110.12557135687933,3560.556729812622,2.4146702850475106,4.057925485136066,0.8710638715047239,0.9198895242736356,3.071972365082933,1.146598083180917,0.5920903246610536,0.9158580483569364,90.08142614746093,212.0966173115228
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,4.569626575187448,0.800140979786714,1.2146981479724248,nan,15.719522078831991,108.2143830871582,1000.0,0.0,nan,0,31098,0,214,4531.2517069309415,209.1228853797187,0.8690600459012836,0.9268946406612052,0.650604193409284,0.5608040006458759,195.86522335476346,209.12288040161133,195.86522335476346,209.12288040161133,107.48604498969183,3104.3266447067263,2.467621261060121,4.088706363636331,0.8690600459012836,0.9268946406612052,3.1160553020906048,1.135790513874941,0.5682186954612032,0.9221193071489181,90.70030020141601,246.77421560140138
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,4.6533214210719605,0.7922916449109714,1.3894661460320155,nan,20.609378451392764,106.54953414916992,1000.0,0.0,nan,0,31568,0,218,3896.1500349495846,208.6480737663145,0.8647212990150677,0.9251091847837817,0.6438470497017815,0.5491399925947189,195.28604125976562,208.6480693054199,195.28604125976562,208.6480693054199,164.65116155715216,1772.0453343200684,2.493741189159896,4.119956005964424,0.8647212990150677,0.9251091847837817,3.1442271158817077,1.1438427774639426,0.5581393057134896,0.9193709693939944,91.66124145507813,247.09753097440833
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,5.072409594418767,0.7989656454324723,1.2857689441243807,nan,18.45648054643111,104.01509283065796,1000.0,0.0,nan,0,30772,0,206,4578.798986798942,208.91881528986167,0.8664935197736081,0.9259055482303212,0.6274101571603254,0.5332971084862947,195.1312949440696,208.9188119506836,195.1312949440696,208.9188119506836,376.0964563543146,1003.5033044433594,2.523124603358441,4.152116811169619,0.8664935197736081,0.9259055482303212,3.174721486482912,1.1476807327333287,0.5382034759527135,0.9228082386899239,87.86041326904297,184.3011038255214
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,5.072409594418767,0.7971383125583331,1.4844314081470171,nan,21.458747695474063,101.70703506469727,1000.0,0.0,nan,0,31543,0,213,3237.0473545183395,208.74936132411287,0.8501135644029064,0.9256816418442796,0.6398232333800372,0.5189147482812405,191.7332171271829,208.7493578338623,191.7332171271829,208.7493578338623,164.10310184254365,662.7105320739746,2.565538214809917,4.184004643576286,0.8501135644029064,0.9256816418442796,3.2129247863164645,1.1435139377108763,0.5283868415839111,0.9197615620447251,90.01867251586914,193.55935458326869
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,5.072409594418767,0.7998196475704511,1.3970023412505785,nan,16.763517249714244,98.64189884185791,1000.0,0.0,nan,0,30389,0,207,4616.202776306852,209.2132130757535,0.9400888558365039,0.9275908604556291,0.48074646429582074,0.5009441547095775,211.99070046164772,209.2132089996338,211.99070046164772,209.2132089996338,141.70715956254438,3047.7053116607667,2.573371387464445,4.215511374910222,0.9400888558365039,0.9275908604556291,3.230227382442756,1.15297893810206,0.4998911945458272,0.9282424147171913,88.34907901000976,185.24174630905213
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,5.124341227997818,0.8013109801212946,1.415001504123211,nan,20.560808398506857,98.15757875442505,1000.0,0.0,nan,0,30481,0,207,2287.155855126373,207.83247659959423,0.8885261473789913,0.92120674139769,0.5496443577788093,0.4962992940843105,200.6272735595703,207.83247207641602,200.6272735595703,207.83247207641602,281.30923253839666,2484.667988586426,2.5815707334068723,4.247742854713275,0.8885261473789913,0.92120674139769,3.2480395819294334,1.1658085371559879,0.4990803163622228,0.9195030137474259,87.54678884887696,133.4504194526179
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.124341227997818,0.7979863145947457,1.5646630075573922,0.8574733959783974,22.336699724197388,98.9171939086914,1000.0,0.6775750063083443,1.0,30340,466,71,139,3722.421957031388,0.0,0.7873672005575286,0.0,0.7018509485891887,0.0,177.62308393205916,0.0,177.62308393205916,0.0,161.3708016531808,2798.6699880981446,2.6412146868549318,0.0,0.7873672005575286,0.0,2.6412146868549318,1.0720095913801702,0.7018509485891887,0.7873672005575286,8.28907725016276,173.71302466146474
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8004956468939781,1.5529686001936596,0.9722616610845198,21.551731326363303,130.09526405334472,1000.0,0.6022846787076006,1.0,30327,381,57,149,4719.038320162141,0.0,0.7927356865203556,0.0,0.6798642413182692,0.0,178.84384710138494,0.0,178.84384710138494,0.0,219.49848799272016,2582.5233638000486,2.6764751415008305,0.0,0.7927356865203556,0.0,2.6764751415008305,1.0762282947418425,0.6798642413182692,0.7927356865203556,6.557607727050781,173.03140507261182
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8001686470707258,1.6638401853044829,0.8985219816583047,21.84151212985699,154.39434688568116,1000.0,0.5856451998219993,1.0,30329,443,71,137,3387.074188090104,0.0,0.7789167359971765,0.0,0.6913177279325632,0.0,175.79224219689002,0.0,175.79224219689002,0.0,158.30441049429086,3203.7873445129394,2.7216457272884598,0.0,0.7789167359971765,0.0,2.7216457272884598,1.0792721532949774,0.6913177279325632,0.7789167359971765,7.617663828531901,146.77321481723786
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8012479798992475,1.5551714298129082,0.8953090170208716,14.697575330734253,182.78033123016357,1000.0,0.6811793560663729,1.0,30236,462,119,89,5266.181876383563,0.0,0.8137118467816694,0.0,0.6192043672005335,0.0,183.25523885091147,0.0,183.25523885091147,0.0,109.33419036865234,5683.387567253113,2.756756249923615,0.0,0.8137118467816694,0.0,2.756756249923615,1.0851932809115412,0.6192043672005335,0.8137118467816694,7.3302095540364585,210.64727505534253
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.798231981197993,1.6801090841492017,0.9066271951194274,20.03451633453369,217.4081422805786,1000.0,0.5472425539425069,1.0,30490,590,38,176,4586.51739341885,0.0,0.8330440108739614,0.0,0.5704907608382842,0.0,187.89446303423713,0.0,187.89446303423713,0.0,229.91873887005974,2639.1271922302244,2.7843476521842754,0.0,0.8330440108739614,0.0,2.7843476521842754,1.0892560102802566,0.5704907608382842,0.8330440108739614,10.647352905273438,259.9026522937348
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.282587475584879,0.7975579785307249,1.6831177736322085,0.9350743765580631,19.66234933412992,232.4241707611084,1000.0,0.6099313404354538,1.0,30212,390,102,108,4172.8756258972435,0.0,0.7819586242473291,0.0,0.6446678546758798,0.0,176.2115466778095,0.0,176.2115466778095,0.0,303.19759427584137,6456.048596191406,2.807575674325726,0.0,0.7819586242473291,0.0,2.807575674325726,1.105820468227836,0.6446678546758798,0.7819586242473291,7.6358336893717444,180.8246104555473
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.387101920273127,0.7998429787158966,1.6099036125342052,0.9453448516790834,14.900390481948852,247.41750621795654,1000.0,0.6285516944069575,1.0,30105,255,103,103,5757.394331820051,0.0,0.7568298505746222,0.0,0.6801192462444305,0.0,170.84587707519532,0.0,170.84587707519532,0.0,190.8008071899414,7054.755961761474,2.8470362922125596,0.0,0.7568298505746222,0.0,2.8470362922125596,1.1099846902343775,0.6801192462444305,0.7568298505746222,5.694862569173177,191.9131443940017
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.403424225606213,0.7938849814732869,1.6507076127330462,0.8453820593037371,15.369156861305237,288.5794524002075,1000.0,0.3479529356970874,1.0,30277,562,79,138,5036.743943358078,0.0,0.7431349552291137,0.0,0.6982120022177696,0.0,167.63605804443358,0.0,167.63605804443358,0.0,96.25687751770019,3610.517654876709,2.9413694893073354,0.0,0.7431349552291137,0.0,2.9413694893073354,1.1020134932437833,0.6982120022177696,0.7431349552291137,11.175737202962239,335.78292955720514
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.403424225606213,0.7858119813601175,1.6988128645221392,0.9031865046087519,16.021024644374847,297.4535687637329,1000.0,0.4825296578207691,1.0,30617,938,68,153,5200.335067458259,0.0,0.7944608360681628,0.0,0.5870650975654522,0.0,179.22674369812012,0.0,179.22674369812012,0.0,129.989120165507,5140.540521774292,3.014453416245994,0.0,0.7944608360681628,0.0,3.014453416245994,1.0977519232120716,0.5870650975654522,0.7944608360681628,14.33813949584961,416.02680539666073
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.403424225606213,0.7860179811716079,1.6866824920972188,0.909712054857335,15.736945708592733,317.80883361816404,1000.0,0.5065127493010254,1.0,30268,423,75,136,4664.884972218923,0.0,0.782012349480392,0.0,0.5947792003552119,0.0,176.50535481770834,0.0,176.50535481770834,0.0,108.83288879394532,7216.362425765991,3.0544385566549024,0.0,0.782012349480392,0.0,3.0544385566549024,1.0956746092962513,0.5947792003552119,0.782012349480392,8.825267740885417,233.24424861094613
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.403424225606213,0.7898089810212453,1.7255770746866863,0.9381968472416347,18.440324554840725,356.69417037963865,1000.0,0.6659313538080852,1.0,30294,401,73,136,2839.2615317715827,0.0,0.8403490397068332,0.0,0.4687842158600688,0.0,189.22709274291992,0.0,189.22709274291992,0.0,144.23282051086426,6905.084479217529,3.0700039330273534,0.0,0.8403490397068332,0.0,3.0700039330273534,1.0999504901053472,0.4687842158600688,0.8403490397068332,7.5690837097167964,113.5704612708633
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.403424225606213,0.788839646478494,1.8037653750181197,0.8411293429647144,17.189859598875046,400.7088784790039,1000.0,0.42662065326012527,1.0,30171,417,101,113,3941.864457218458,0.0,0.815086761020144,0.0,0.5064312592148781,0.0,183.72315120697021,0.0,183.72315120697021,0.0,104.71087789535522,10342.072780685425,3.1055099437444347,0.0,0.815086761020144,0.0,3.1055099437444347,1.0957235303709478,0.5064312592148781,0.815086761020144,9.798568064371745,210.2327710516511
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.5260079081447975,0.7840183116992314,1.8472075355052948,0.9297530219326262,18.003790229558945,465.48825191497804,1000.0,0.5451273659990599,1.0,30436,563,56,157,4101.336863495326,0.0,0.7189721342484988,0.0,0.6787068825215101,0.0,162.15479850769043,0.0,162.15479850769043,0.0,196.54465866088867,3686.912265472412,3.164524963815323,0.0,0.7189721342484988,0.0,3.164524963815323,1.094603409402099,0.6787068825215101,0.7189721342484988,8.648255920410156,218.73796605308405
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.5260079081447975,0.7787439812223117,1.9327947296698889,0.8845011535379712,18.443854306873522,484.6069273757935,1000.0,0.5533385595036575,1.0,30464,691,77,138,4234.921168426849,0.0,0.7785573122111878,0.0,0.5381725540286616,0.0,175.62671139365747,0.0,175.62671139365747,0.0,118.65317575555099,3907.1288612365724,3.20327880607375,0.0,0.7785573122111878,0.0,3.20327880607375,1.1015919633263798,0.5381725540286616,0.7785573122111878,11.12302505493164,268.2116740003671
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,5.5260079081447975,0.7771526470780372,2.123878464003404,0.9230093362863439,23.735114415486652,509.42913204193115,1000.0,0.7191752470142927,1.0,30893,962,15,200,4162.340378431581,0.0,0.7498277492758403,0.0,0.5856506195333269,0.0,169.26610395643445,0.0,169.26610395643445,0.0,302.7979465060764,1359.2794345092773,3.261447175098948,0.0,0.7498277492758403,0.0,3.261447175098948,1.0947375491935851,0.5856506195333269,0.7498277492758403,10.155966237386068,249.74042270589484
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,5.5953649914820724,0.7774696472287178,2.1094007686773937,0.8943849612047547,16.657364010810852,513.3834037399292,1000.0,0.6443547651563195,1.0,30575,758,59,156,3586.8268487296336,0.0,0.7546283498229265,0.0,0.5559023398121721,0.0,170.03191897743628,0.0,170.03191897743628,0.0,87.4024543762207,3334.3591338348388,3.2918864805440102,0.0,0.7546283498229265,0.0,3.2918864805440102,1.1134599729321937,0.5559023398121721,0.7546283498229265,10.768688201904297,227.16570041954347
