algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,86,3.874737541093223,0.8850035783052445,0.3838510956764221,nan,0.01868845190366973,0.0,1000.0,0.0,nan,0,4,0,200,3.8747375410932245,0.0,0.04299186464842397,0.0,0.17391304347826086,0.0,0.4314860131429589,0.0,0.6089221912881603,0.0,3.8747375410932245,1.3322676295501878e-15,1.5899999999999999,0.9390736279732017,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,87,3.916240373005058,0.8850187767744064,0.38385191464424134,nan,0.018568439758382738,0.0,1000.0,0.0,nan,0,8,0,78,3.916240373005059,0.0,0.053878087302826616,0.0,0.5,0.0,0.6259784400463104,0.0,0.8056393377482891,0.0,3.916240373005059,8.881784197001252e-16,1.6050000000000002,0.9388333353223396,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,88,3.958594794875645,0.8850235780477523,0.3838538843393326,nan,0.018674750346690416,0.0,1000.0,0.0,nan,0,9,0,217,3.9585947948756446,0.0,0.04040513513374111,0.0,0.375,0.0,0.4044517707079649,0.0,0.5910905748605728,0.0,3.9585947948756446,4.440892098500626e-16,1.62,0.9382747726239321,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,89,4.00182186932881,0.8851157784461975,0.3838541496992111,nan,0.018453193000621267,0.0,1000.0,0.0,nan,0,8,0,108,4.0018218693288095,0.0,0.050080676733632874,0.0,0.4444444444444444,0.0,0.521842693289121,0.0,0.7535578476058112,0.0,4.0018218693288095,8.881784197001252e-16,1.635,0.9379720058982189,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,90,4.045943537463281,0.885077779173851,0.38396567189693454,nan,0.017898989792324994,0.0,1000.0,0.0,nan,0,23,0,519,4.045943537463281,0.0,0.045636432490108195,0.0,0.6052631578947368,0.0,0.4532613738587028,0.0,0.46902682122431305,0.0,4.045943537463281,0.0,1.65,0.9365386484119249,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,91,4.090982666874294,0.8850755797624588,0.3840402110815048,nan,0.0182588004871555,0.0,1000.0,0.0,nan,0,5,0,189,4.090982666874295,0.0,0.05178735878466738,0.0,0.21739130434782608,0.0,0.5567919573058253,0.0,0.7208726522715195,0.0,4.090982666874295,8.881784197001252e-16,1.6649999999999998,0.9359971364902936,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,92,4.136963102650078,0.8850821788311005,0.38410168898105623,nan,0.017880665021948516,0.0,1000.0,0.0,nan,0,9,0,213,4.136963102650079,0.0,0.044427529602817845,0.0,0.375,0.0,0.44715799763798714,0.0,0.6176244132220745,0.0,4.136963102650079,8.881784197001252e-16,1.6800000000000002,0.935416564805724,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,93,4.183909721536838,0.8851151778697968,0.38410153293609617,nan,0.017389925984809033,0.0,1000.0,0.0,nan,0,7,0,247,4.183909721536837,0.0,0.037472850466298495,0.0,0.2692307692307692,0.0,0.38290104785790813,0.0,0.5197617216752126,0.0,4.183909721536837,8.881784197001252e-16,1.695,0.9347833630915201,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,94,4.231848489478358,0.8851525785923005,0.384169504404068,nan,0.017085972614586352,0.0,1000.0,0.0,nan,0,8,0,138,4.231848489478359,0.0,0.04225111925478585,0.0,0.4,0.0,0.439287331700325,0.0,0.5698034122586251,0.0,4.231848489478359,8.881784197001252e-16,1.71,0.934368466880075,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,95,4.28080652274961,0.8851685780286789,0.3843239679336548,nan,0.017105435374481923,0.0,1000.0,0.0,nan,0,8,0,322,4.280806522749609,0.0,0.042337177467202045,0.0,0.27586206896551724,0.0,0.4414065809085451,0.0,0.5191334784030914,0.0,4.280806522749609,8.881784197001252e-16,1.7249999999999999,0.9334878405297061,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,96,4.330812152917754,0.8851303772926331,0.3844984309077263,nan,0.01695171379085098,0.0,1000.0,0.0,nan,0,13,0,501,4.330812152917753,0.0,0.04148194934421239,0.0,0.37142857142857144,0.0,0.4078444046633584,0.0,0.4238543391227722,0.0,4.330812152917753,8.881784197001252e-16,1.7400000000000002,0.9321123683445879,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,97,4.381894995878737,0.8851741766929626,0.3845498139858246,nan,0.01689919041070555,0.0,1000.0,0.0,nan,0,5,0,287,4.381894995878737,0.0,0.03926401519333752,0.0,0.17857142857142858,0.0,0.37887427530118395,0.0,0.498955888407571,0.0,4.381894995878737,0.0,1.7550000000000001,0.9313300144787501,0.0
