algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,95,2.239547937131616,0.8797323107719421,0.4059231691559156,0.8652504554570662,1.936392184935118,749.5007573461533,1000.0,0.5094238170757441,1.0,30484,703,72,145,1.2945519732801538,0.0,1.9618830789146424,0.0,1.8168997795958268,926.8549989175797,1.2945519732801538,0.0,291.88968939530224,0.0,0.7054480267198462,0.0,291.88968939530224,0.0,15727.558359388673,0.0,1.9618830789146424,0.20428079398595272,0.7054480267198462,1.2945519732801538,18.486346995035806,996.0786960946159
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,96,2.239547937131616,0.8795366450150808,0.4064743847648303,0.7280626570872198,1.904021403193474,800.6652918863297,1000.0,0.47150543410186263,1.0,30420,818,119,97,1.2647086381912231,0.0,1.962874570838516,0.0,2.323759365081787,3500.06688341856,1.2647086381912231,0.0,285.4423683166504,0.0,0.7352913618087769,0.0,285.4423683166504,0.0,14663.315568765556,0.0,1.962874570838516,0.20430048879875579,0.7352913618087769,1.2647086381912231,19.029491221110025,977.5543712510371
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,97,2.239547937131616,0.8794766436020534,0.4066750901937485,0.8875282028623533,2.0209498637252383,1084.560605802536,1000.0,0.5064979002846075,1.0,30539,635,28,186,1.2734650472799938,0.0,1.9636955801950595,0.0,2.976744963063134,24.814543685913087,1.2734650472799938,0.0,287.2882198757595,0.0,0.7265349527200063,0.0,287.2882198757595,0.0,16221.015515536074,0.0,1.9636955801950595,0.20443203273222993,0.7265349527200063,1.2734650472799938,17.23729319254557,973.2609309321642
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,98,2.239547937131616,0.8793863103787104,0.40738453835248944,0.9137041766065815,2.487281560897827,1086.457094988823,1000.0,0.5387914740795012,1.0,30024,178,115,91,1.2304214462637901,0.0,1.9641306654653665,0.0,8.864531397819519,3493.5154510116577,1.2304214462637901,0.0,277.21916580200195,0.0,0.7695785537362099,0.0,277.21916580200195,0.0,13852.888210935409,0.0,1.9641306654653665,0.2044877272315408,0.7695785537362099,1.2304214462637901,7.392511088053386,369.41035229161093
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,99,2.239547937131616,0.8794609785079956,0.4072068698207537,0.8961763498206752,1.9473878641923268,1389.2335027408599,1000.0,0.489609448522492,1.0,30219,303,61,147,1.2900885393222172,0.0,1.9646473334060814,0.0,3.790471355120341,41.94642161369324,1.2900885393222172,0.0,291.28833262125653,0.0,0.7099114606777827,0.0,291.28833262125653,0.0,15335.288830019645,0.0,1.9646473334060814,0.20454303346464606,0.7099114606777827,1.2900885393222172,11.651533304850261,613.4115532007859
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,100,2.239547937131616,0.8791773092746734,0.4086125299334526,0.8952257629114256,2.2754905308995927,1393.892164607048,1000.0,0.46896792005400745,1.0,30153,353,100,112,1.2304798364639282,0.0,1.96536505323697,0.0,5.2172927515847345,1872.4021320343018,1.2304798364639282,0.0,277.6968209402902,0.0,0.7695201635360718,0.0,277.6968209402902,0.0,15927.398905549413,0.0,1.96536505323697,0.20462658126915506,0.7695201635360718,1.2304798364639282,12.95918497721354,743.2786155923059
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,101,2.239547937131616,0.8793169778585433,0.4084611072142919,0.8236993897871806,1.981988705121554,1540.9042802381516,1000.0,0.5157745886178433,1.0,30192,335,83,126,1.3026581223194416,0.0,1.965910674820578,0.0,3.4242451741145206,492.0193894505501,1.3026581223194416,0.0,293.9519535945012,0.0,0.6973418776805584,0.0,293.9519535945012,0.0,16014.01412006315,0.0,1.965910674820578,0.20468258286833266,0.6973418776805584,1.3026581223194416,12.737917989095052,693.9406118694031
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,102,2.2511814380050974,0.8790239785114924,0.40910952945550283,0.9244937732419285,2.0751943167518165,1576.8868040180207,1000.0,0.6649841486599726,1.0,30712,801,41,172,1.2815311147886164,0.0,1.9666894151818053,0.0,3.179269047344432,313.61540046215055,1.2815311147886164,0.0,288.86038297765396,0.0,0.7184688852113836,0.0,288.86038297765396,0.0,15841.436338537027,0.0,1.9666894151818053,0.20482242654089594,0.7184688852113836,1.2815311147886164,16.36875503540039,897.6813925170982
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,103,2.2511814380050974,0.8787883108854294,0.4106591580311457,0.8443220142463749,2.012927065292994,1595.8246001052858,1000.0,0.5445792767782515,1.0,30492,579,20,193,1.2568326161967383,0.0,1.9738317159674836,0.0,2.791783654027515,22.42106029510498,1.2568326161967383,0.0,283.52098507351343,0.0,0.7431673838032616,0.0,283.52098507351343,0.0,16867.13915006942,0.0,1.9738317159674836,0.17042965902867005,0.7431673838032616,1.2568326161967383,17.011259104410808,1012.0283490041651
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,104,2.2511814380050974,0.8788036445776621,0.41034296731154124,0.9011757432514065,2.0346425414085387,1604.9870038700103,1000.0,0.6727476693430492,1.0,30503,610,57,154,1.3002882262070974,0.0,1.974488924244386,0.0,4.10827816327413,69.18423970222473,1.3002882262070974,0.0,293.23589884440105,0.0,0.6997117737929026,0.0,293.23589884440105,0.0,16860.991537841786,0.0,1.974488924244386,0.17049246061626977,0.6997117737929026,1.3002882262070974,14.661794942220052,843.0495768920892
