algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,83,3.706935258484402,0.7951589787006378,0.5821032796303431,0.9977777777777778,0.027667070428530376,nan,1000.0,0.9956521739130434,1.0,30394,495,0,113,0.5112042327721914,nan,0.05322039280724677,0.0,33.0,151.97,3.7069352584844024,0.0,0.8715857187906901,nan,3.7069352584844024,4.440892098500626e-16,1.5450000000000002,0.9410995065475789,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,84,3.7621516572892535,0.7952123139301935,0.581804352402687,1.0,0.029321259952017238,nan,1000.0,1.0,1.0,30661,761,0,86,0.5285120563847678,nan,0.05050720815054195,0.0,54.357142857142854,153.305,3.762151657289253,0.0,0.9298811001437051,nan,3.762151657289253,4.440892098500626e-16,1.56,0.9406595627672034,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,85,3.818852916980401,0.7955529814958573,0.5815855185190837,0.9967213114754099,0.027327754224340122,nan,1000.0,0.8279569892473119,1.0,30150,252,0,96,0.6328320304552714,nan,0.06124697416949665,0.0,21.0,150.75,3.818852916980401,0.0,0.7498909321924051,nan,3.818852916980401,0.0,1.575,0.9401559404004742,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,86,3.874737541093223,0.7954629794756571,0.581757760643959,1.0,0.027701889249411495,nan,1000.0,1.0,1.0,30299,399,0,56,0.5204893729903481,nan,0.04599992082538016,0.0,36.27272727272727,151.495,3.874737541093224,0.0,0.9693290211937644,nan,3.874737541093224,8.881784197001252e-16,1.5899999999999999,0.9398983892292933,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,87,3.916240373005058,0.7957673118511835,0.5817093072334926,0.9986745666008339,0.029058661819858986,nan,1000.0,0.9066969066969066,1.0,30388,491,0,47,0.7112798338586633,nan,0.06512653974918053,0.0,44.63636363636363,151.94,3.916240373005059,0.0,1.1717092449014836,nan,3.916240373005059,8.881784197001252e-16,1.6050000000000002,0.9396248377081947,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,88,3.958594794875645,0.7958753114938736,0.5814142463604609,0.9955808989907071,0.026755197532474996,nan,1000.0,0.8496390577507598,1.0,30189,293,0,48,0.5266639798879623,nan,0.04667660290003955,0.0,29.3,150.945,3.9585947948756446,0.0,1.0027165949344634,nan,3.9585947948756446,4.440892098500626e-16,1.62,0.9393711896431783,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,89,4.00182186932881,0.7958803141117096,0.5815829873085022,0.995466602363154,0.029778481532747928,nan,1000.0,0.9911845730027548,1.0,30475,577,0,74,0.5635917989107279,nan,0.060125282643345865,0.0,44.38461538461539,152.375,4.00182186932881,0.0,1.0632431644659777,nan,4.00182186932881,0.0,1.635,0.9389831650925871,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,90,4.045943537463281,0.7959206449985504,0.5816896526018779,0.9947807640175486,0.027308563985254452,nan,1000.0,0.9898809523809524,1.0,30680,784,0,272,0.44760383212048077,nan,0.05039091794590665,0.0,34.08695652173913,153.4,4.045943537463281,0.0,0.6328653019407521,nan,4.045943537463281,0.0,1.65,0.9375498737781583,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,91,4.090982666874294,0.7962283130486806,0.5814852664868037,1.0,0.03005734011530876,nan,1000.0,1.0,1.0,30129,229,0,52,0.7164174258708954,nan,0.06295130936478249,0.0,22.9,150.645,4.090982666874294,0.0,1.2290138721466064,nan,4.090982666874294,0.0,1.6649999999999998,0.9372543155062076,nan
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,92,4.136963102650078,0.7960703148444493,0.5816545871893565,0.9940858161446396,0.027277988847345114,nan,1000.0,0.7188142046632613,1.0,30284,390,0,150,0.48545868694782257,nan,0.04983453047057703,0.0,24.375,151.42,4.136963102650079,0.0,0.7529740259051323,nan,4.136963102650079,8.881784197001252e-16,1.6800000000000002,0.9364753932369885,nan
