algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,91,6.285519511961395,0.7950547795295715,0.5866682609319687,0.0,1.051120453554651,0.0,1000.0,0.0,0.0,4.423517611117362,0.0,145.13112938922384,0.0,10.308502383854078,0.0,0.6431190713187812,0.0,145.13112938922384,0.0,5523.954873619144,0.0,0.44752404336696083,0.0,0.6431190713187812,0.0,4.423517611117362,1.1451226170398205,0.44752404336696083,0.6431190713187812,6.676031951904297,254.10192418648057
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,92,6.285519511961395,0.7949459784030914,0.5871652636528015,0.0,1.0958197868118684,0.0,1000.0,0.0,0.0,4.46248888021112,0.0,145.22306887308756,0.0,11.715880791346232,0.0,0.643529953643167,0.0,145.22306887308756,0.0,5089.081283888294,0.0,0.4381890728448828,0.0,0.643529953643167,0.0,4.46248888021112,1.1474806648152438,0.4381890728448828,0.643529953643167,6.970707305908203,244.2759016266381
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,93,6.7052120329488005,0.7950401798486709,0.5876550374031067,0.0,1.1007601386652544,0.0,1000.0,0.0,0.0,4.502671161638228,0.0,145.35437187781702,0.0,14.230687168928293,0.0,0.6446881710087745,0.0,145.35437187781702,0.0,5148.405646431304,0.0,0.4661160951050428,0.0,0.6446881710087745,0.0,4.502671161638228,1.1530791056449516,0.4661160951050428,0.6446881710087745,7.558427337646484,267.7170936144278
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,94,6.7052120329488005,0.795194979429245,0.5876116259098053,0.0,0.9427460845559835,0.0,1000.0,0.0,0.0,4.537399675877807,0.0,145.18683471679688,0.0,5.19407821893692,0.0,0.6444553303976355,0.0,145.18683471679688,0.0,5425.33485155887,0.0,0.44742656983435153,0.0,0.6444553303976355,0.0,4.537399675877807,1.1372501039647998,0.44742656983435153,0.6444553303976355,5.807473388671875,217.0133940623548
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,95,6.7052120329488005,0.7950307805538177,0.5883243309259415,0.0,1.1596989035606384,0.0,1000.0,0.0,0.0,4.587245443964144,0.0,140.27675812819908,0.0,15.253246307373047,0.0,0.6217751378970229,0.0,140.27675812819908,0.0,5051.156983073333,0.0,0.49845209383759004,0.0,0.6217751378970229,0.0,4.587245443964144,1.1346899888918622,0.49845209383759004,0.6217751378970229,8.136051971435547,292.96710501825345
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,96,6.965287242042147,0.795154778957367,0.5886716507673263,0.0,0.9165055204715048,0.0,1000.0,0.0,0.0,4.64469690805019,0.0,143.92678440638952,0.0,14.804998438698904,0.0,0.6381417527589309,0.0,143.92678440638952,0.0,5111.855686931726,0.0,0.42162071594170164,0.0,0.6381417527589309,0.0,4.64469690805019,1.1222706216318004,0.42162071594170164,0.6381417527589309,10.074874908447265,357.82989808522086
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,97,6.965287242042147,0.7953061821460724,0.5883226064443589,0.0,1.031514567456075,0.0,1000.0,0.0,0.0,4.690799004716617,0.0,140.18953432355607,0.0,11.416895593915667,0.0,0.6212634951996568,0.0,140.18953432355607,0.0,5137.302256365157,0.0,0.4679180990372385,0.0,0.6212634951996568,0.0,4.690799004716617,1.118224379355674,0.4679180990372385,0.6212634951996568,7.85061392211914,287.6889263564488
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,98,6.965287242042147,0.7953285788297653,0.5888958758115769,0.0,1.120490802185876,0.0,1000.0,0.0,0.0,4.714992936821468,0.0,143.31440080915178,0.0,7.484897017478943,0.0,0.6346011552012926,0.0,143.31440080915178,0.0,5249.2611246245,0.0,0.4349972978234291,0.0,0.6346011552012926,0.0,4.714992936821468,1.116862104488144,0.4349972978234291,0.6346011552012926,4.01280322265625,146.97931148948595
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,99,6.965287242042147,0.7953333795070648,0.5892145143747329,0.0,1.1468196012403653,0.0,1000.0,0.0,0.0,4.748369828882891,0.0,141.31250995138416,0.0,13.761076823524807,0.0,0.6267603105436096,0.0,141.31250995138416,0.0,5202.233017978278,0.0,0.46211570306964544,0.0,0.6267603105436096,0.0,4.748369828882891,1.1182968804916562,0.46211570306964544,0.6267603105436096,6.500375457763672,239.3027188270008
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,100,6.965287242042147,0.7954993802309036,0.5892713249921798,0.0,1.2506855298643527,0.0,1000.0,0.0,0.0,4.789391418722588,0.0,140.1488090183424,0.0,13.900424418242082,0.0,0.6212803327957602,0.0,140.1488090183424,0.0,5226.006793188307,0.0,0.4669457600330529,0.0,0.6212803327957602,0.0,4.789391418722588,1.1129961136525164,0.4669457600330529,0.6212803327957602,6.44684521484375,240.39631248666205
