algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,2.7529882148965723,0.8787713112433752,0.40518052299817403,0.9115946002181412,1.8513956745465596,32.0200912475586,1000.0,0.5084766314623085,1.0,30268,422,75,137,235.6080342610677,0.0,9573.619569001718,0.0,1.3719034608546787,0.0,0.735076653957367,0.0,235.60806477864583,0.0,2.4586048762003583,76.61105272650718,1.044103586046709,0.0,1.044103586046709,0.0,1.3719034608546787,0.5797994874285658,0.735076653957367,1.044103586046709,11.780403238932292,478.68097845008595
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,2.7529882148965723,0.878502313097318,0.4055624653895696,0.9368635611329705,2.8759217858314514,37.31480350971222,1000.0,0.6641147364302987,1.0,30294,402,73,135,237.25156911214194,0.0,8141.0023568734505,0.0,1.3863993981884881,0.0,0.704448382059733,0.0,237.2516301472982,0.0,5.965920627117157,76.48757181286811,1.0534639609647143,0.0,1.0534639609647143,0.0,1.3863993981884881,0.5853387496578704,0.704448382059733,1.0534639609647143,9.490065205891927,325.640094274938
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,2.9596700933001676,0.8782899785041809,0.40633110960324603,0.8411293429647144,2.6417070850729942,42.52860712051392,1000.0,0.42662065326012527,1.0,30171,418,101,112,225.7588758468628,0.0,8881.896614936868,0.0,1.4246076627693876,0.0,0.7496365644037724,0.0,225.75890064239502,0.0,1.3801548555493355,118.03534026026726,1.001582689224652,0.0,1.001582689224652,0.0,1.4246076627693876,0.5925893108291944,0.7496365644037724,1.001582689224652,12.040474700927735,473.701152796633
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,3.07506820614604,0.8782623096307118,0.40588491717974345,0.9302391594894217,2.236163292080164,48.88563417911529,1000.0,0.5456632319511165,1.0,30436,563,56,157,211.9705686569214,0.0,8563.06224268839,0.0,1.4709458892654255,0.0,0.8090796507894993,0.0,211.97054290771484,0.0,1.5455305092036724,42.01251146316528,0.9397640850760919,0.0,0.9397640850760919,0.0,1.4709458892654255,0.6104407503929281,0.8090796507894993,0.9397640850760919,11.305095621744792,456.69665294338074
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,3.114539514218948,0.8779649804035823,0.4066921905676524,0.8851284576519257,2.4292508865657605,49.86079802036286,1000.0,0.5540912660672822,1.0,30464,691,77,138,226.23704528808594,0.0,9152.431577709278,0.0,1.5103128463814703,0.0,0.7098757483457264,0.0,226.23703324167352,0.0,2.9171781947738245,48.469271503686905,1.0028898810858566,0.0,1.0028898810858566,0.0,1.5103128463814703,0.6190748591821705,0.7098757483457264,1.0028898810858566,14.328345438639323,579.6539999215876
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,3.294897439186745,0.8772069782018661,0.40943100323279696,0.9235906766053744,3.2648621747891107,50.129741258621216,1000.0,0.7200042102861554,1.0,30893,962,15,200,217.13409169514975,0.0,8524.885348120186,0.0,1.5603490822900263,0.0,0.7439290649361081,0.0,217.13409762912326,0.0,5.473844488461812,19.79267176389694,0.9618812506321424,0.0,0.9618812506321424,0.0,1.5603490822900263,0.6232128977246061,0.7439290649361081,0.9618812506321424,13.028045857747395,511.49312088721103
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,3.294897439186745,0.8772583109140396,0.4092613813281059,0.8937759537483241,2.2601747418704785,50.69285597801208,1000.0,0.6437176449349217,1.0,30575,757,59,157,209.84294770893297,0.0,8684.494101155295,0.0,1.591834806730638,0.0,0.7653993870082655,0.0,209.84294690583883,0.0,1.6608974180723493,40.52065666377544,0.9313638218497373,0.0,0.9313638218497373,0.0,1.591834806730638,0.6414060911489478,0.7653993870082655,0.9313638218497373,13.290053304036459,550.0179597398353
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,3.294897439186745,0.8771846457322439,0.4093653998772303,0.888546029024114,2.537587594240904,52.28408133029938,1000.0,0.5134611366681948,1.0,30395,539,59,153,210.72024536132812,0.0,8080.998063467811,0.0,1.6181962176976292,0.0,0.7431813925504684,0.0,210.7202548980713,0.0,3.1407130286097527,51.99276926994324,0.9340089987420648,0.0,0.9340089987420648,0.0,1.6181962176976292,0.6586869827964137,0.7431813925504684,0.9340089987420648,11.238413594563802,430.98656338494993
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,3.4650917095119906,0.8768539770444235,0.41087053646643956,0.8369847240198195,2.3148470520973206,53.93393797874451,1000.0,0.4505826041967677,1.0,30383,630,71,146,206.9388427734375,0.0,8474.368067646243,0.0,1.6880331013622485,0.0,0.7466002151370048,0.0,206.93886184692383,0.0,0.7372323468327522,38.607883807420734,0.917600533027213,0.0,0.917600533027213,0.0,1.6880331013622485,0.6745114027090703,0.7466002151370048,0.917600533027213,13.795924123128255,564.9578711764161
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,3.543163841548102,0.8761703129609426,0.4131923253337542,0.8272132275573433,2.8742207941554843,56.29086745262146,1000.0,0.5689158613861182,1.0,30675,823,23,195,202.9421684628441,0.0,8223.988261890665,0.0,1.7543958799350134,0.0,0.7525089979171753,0.0,202.94215175083704,0.0,1.8787548825854348,17.65205105304718,0.8996778865250195,0.0,0.8996778865250195,0.0,1.7543958799350134,0.6897140058121878,0.7525089979171753,0.8996778865250195,14.205950622558595,575.6791783323466
