algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.266090579530224,0.8742409786581993,0.4519348509609699,nan,0.8278407653172811,0.07868067685514689,1000.0,0.0,nan,0,50195,0,303,0.9590397335170936,0.0,1.784841887598306,0.0,216.4651107788086,0.0,0.7561925152937571,0.0,0.9590397335170936,0.0,216.4651107788086,0.0,0.003234291022333006,0.00128663538217855,4800.960975823345,0.0,1.784841887598306,1.1212206662709439,0.7561925152937571,0.9590397335170936,6.4939533233642575,144.02882927470034
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.303934968169316,0.8757014772295952,0.44507750794291495,nan,0.8922592964437273,0.07981076661497355,1000.0,0.0,nan,0,50763,0,305,0.9115412335063896,0.0,1.8208320184034141,0.0,205.71132236056857,0.0,0.8059133887290955,0.0,0.9115412335063896,0.0,205.71132236056857,0.0,0.002820990720970763,0.0012711817460755506,5322.932353717926,0.0,1.8208320184034141,1.118453017753847,0.8059133887290955,0.9115412335063896,9.257009506225586,239.5319559173067
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.335308650633853,0.8757409766316414,0.44193771079182625,nan,1.006957119703293,0.0799935179700454,1000.0,0.0,nan,0,50485,0,307,0.912238595303138,0.0,1.8478964999340797,0.0,205.92771606445314,0.0,0.792989918589592,0.0,0.912238595303138,0.0,205.92771606445314,0.0,0.0031132670817896725,0.001230216328209887,5442.725962018214,0.0,1.8478964999340797,1.1251208260005148,0.792989918589592,0.912238595303138,10.296385803222655,272.1362981009107
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,3.370974349797376,0.8762339749932289,0.4379107865691185,nan,0.8042703308165073,0.08119677520046631,1000.0,0.0,nan,0,50387,0,305,0.8734500588724694,0.0,1.892582883089456,0.0,196.96907997131348,0.0,0.832697331905365,0.0,0.8734500588724694,0.0,196.96907997131348,0.0,0.0030631965782959014,0.0014005415226953726,5348.33301011894,0.0,1.892582883089456,1.1259647819927119,0.832697331905365,0.8734500588724694,7.878763198852539,213.9333204047576
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,3.411208776345109,0.8756569784879684,0.43858244344592096,nan,0.851031278188412,0.08207837898284197,1000.0,0.0,nan,0,50911,0,309,0.9080543873876651,0.0,1.9574193742243353,0.0,204.76306973970853,0.0,0.7742547874267285,0.0,0.9080543873876651,0.0,204.76306973970853,0.0,0.003390410592636237,0.0014188643618642041,5275.554128751175,0.0,1.9574193742243353,1.1255414656559735,0.7742547874267285,0.9080543873876651,13.309599533081055,342.9110183688265
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,3.4562171457165083,0.8781044778227806,0.4286637380719185,nan,0.9818833044597081,0.0839934042096138,1000.0,0.0,nan,0,50307,0,303,0.8412259107672364,0.0,2.002018349544656,0.0,189.82951136997767,0.0,0.8530514666012355,0.0,0.8412259107672364,0.0,189.82951136997767,0.0,0.0028357571656150477,0.001494257883556808,5411.567067598812,0.0,2.002018349544656,1.122695846696653,0.8530514666012355,0.8412259107672364,6.644032897949219,189.4048473659584
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,3.5061202247651524,0.8778049802780151,0.4286334307491779,nan,1.0134522318840027,0.08526508630563816,1000.0,0.0,nan,0,50484,0,306,0.8079481081204106,0.0,2.0651321046255244,0.0,182.1109848022461,0.0,0.8873522281646729,0.0,0.8079481081204106,0.0,182.1109848022461,0.0,0.0033819038420915605,0.0012510332469052325,5333.745221339308,0.0,2.0651321046255244,1.11572801650961,0.8873522281646729,0.8079481081204106,9.105549240112305,266.68726106696545
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,3.5609487158710795,0.8779969790577888,0.42571461483836176,nan,0.7959437191486358,0.08645785010109346,1000.0,0.0,nan,0,49919,0,301,0.8582437456794005,0.0,2.102906288624001,0.0,193.95286865234374,0.0,0.8062103033065796,0.0,0.8582437456794005,0.0,193.95286865234374,0.0,0.06901715085841716,0.001193125528904299,5158.825012653322,0.0,2.102906288624001,1.1073433130955268,0.8062103033065796,0.8582437456794005,4.848821716308594,128.97062531633304
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,3.620645994842278,0.878172479569912,0.42417833521962167,nan,0.9532763361930847,0.0892275484278798,1000.0,0.0,nan,0,51123,0,309,0.8697571048614497,0.0,2.1348486794935124,0.0,196.0728959303636,0.0,0.778036851149339,0.0,0.8697571048614497,0.0,196.0728959303636,0.0,0.0032469504333745977,0.0011690479109529406,5680.590565956595,0.0,2.1348486794935124,1.1132440783306488,0.778036851149339,0.8697571048614497,12.744738235473633,369.2383867871786
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,3.685078640472122,0.8786884766817092,0.4216269502043724,nan,0.9090435206890106,0.08940622643878063,1000.0,0.0,nan,0,50772,0,308,0.8903206743374062,0.0,2.1822953735193584,0.0,200.99977250532672,0.0,0.7365748232061212,0.0,0.8903206743374062,0.0,200.99977250532672,0.0,0.0033167786049571905,0.0012598032787597428,5476.687229279787,0.0,2.1822953735193584,1.1061577638165465,0.7365748232061212,0.8903206743374062,11.05498748779297,301.21779761038835
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,3.754052792860233,0.8802414786815643,0.4143957847356796,nan,0.7091091076532999,0.09160870848844449,1000.0,0.0,nan,0,50162,0,302,0.813663511575795,0.0,2.224524057537556,0.0,183.83087666829428,0.0,0.8337521553039551,0.0,0.813663511575795,0.0,183.83087666829428,0.0,0.0029888803837820888,0.0011344976645583907,5799.09579749762,0.0,2.224524057537556,1.0987421898514114,0.8337521553039551,0.813663511575795,5.5149263000488284,173.97287392492865
