algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,20,3.5138226804222468,0.6217491829395294,1.0511314758062362,0.0,0.5123745974685464,0.0,1000.0,0.0,0.0,0.5723865652190787,0.0,1.0503792651920973,0.0,260.8636670793806,0.0,0.9410343079755643,0.0,2.417305597237178,0.0,2541.4783721259114,0.0,1.0503792651920973,0.0,260.8636567252023,0.0,0.9410343079755643,0.9361672094532434,0.5723865652190787,1.0503792651920973,14.608365356445313,142.32278883905104
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,21,3.8330208831997687,0.6301975835561753,1.02908844935894,0.0,0.5643706775846935,0.0,1000.0,0.0,0.0,0.4851226583123207,0.0,1.060225534259354,0.0,263.4512903122675,0.0,0.9972901059356089,0.0,1.8410461857205345,0.0,2596.81368150857,0.0,1.060225534259354,0.0,263.4513186500186,0.0,0.9972901059356089,0.9848823733371829,0.4851226583123207,1.060225534259354,11.064954193115234,109.06617462335993
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,22,4.250236984043009,0.6362161839008331,1.0133026740550994,0.0,0.7138202376663685,0.0,1000.0,0.0,0.0,0.4658732987008989,0.0,1.0213328351831834,0.0,253.5981810433524,0.0,1.0656853377411715,0.0,5.343685116086688,0.0,2581.201985678577,0.0,1.0213328351831834,0.0,253.5982289995466,0.0,1.0656853377411715,1.0479237685121057,0.4658732987008989,1.0213328351831834,14.201498138427734,144.5473111980003
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,4.740467812395233,0.6419015843868255,0.994221144080162,0.0,0.6906860584304446,0.0,1000.0,0.0,0.0,0.599971968858015,0.0,0.8866007056418292,0.0,220.0426984514509,0.0,1.168851550248246,0.0,3.078111009938376,0.0,2380.9354024946374,0.0,0.8866007056418292,0.0,220.04268609909784,0.0,1.168851550248246,1.153736816911718,0.599971968858015,0.8866007056418292,9.241793334960937,99.99928690477478
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,5.261602838981889,0.6478203829526902,0.976043265581131,0.0,0.6475207686424256,0.0,1000.0,0.0,0.0,0.49585593463853,0.0,0.9060789727379275,0.0,225.32879867553712,0.0,1.250681119903497,0.0,2.2427256077528,0.0,2367.08208756385,0.0,0.9060789727379275,0.0,225.32878494262695,0.0,1.250681119903497,1.2388710778906913,0.49585593463853,0.9060789727379275,9.013151947021484,94.68328350255399
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,5.2795975352709466,0.6525989834070206,0.9612914878129959,0.0,0.46790884993970394,0.0,1000.0,0.0,0.0,0.6723243946111516,0.0,0.773664296385854,0.0,192.08737021998354,0.0,1.3587308474318525,0.0,1.0997336538214433,0.0,2049.8381184607715,0.0,0.773664296385854,0.0,192.08737423545435,0.0,1.3587308474318525,1.3463801998464435,0.6723243946111516,0.773664296385854,7.299320068359375,77.89384850150931
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,5.2795975352709466,0.6575135828256607,0.944850462436676,0.0,0.5125036774711176,0.0,1000.0,0.0,0.0,0.44318521640856157,0.0,0.8636081813551044,0.0,214.71561501242897,0.0,1.4471252331610165,0.0,1.6874779164791107,0.0,2321.2930437658597,0.0,0.8636081813551044,0.0,214.71562749689275,0.0,1.4471252331610165,1.4092611959701191,0.44318521640856157,0.8636081813551044,9.447487060546875,102.13689392569783
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,5.2795975352709466,0.6615199828147889,0.9296032469272614,0.0,0.5081209652125835,0.0,1000.0,0.0,0.0,0.44623478982024467,0.0,0.8276062213693317,0.0,205.56050579364484,0.0,1.559628497426424,0.0,2.51616085263399,0.0,2317.833458406108,0.0,0.8276062213693317,0.0,205.56052985558142,0.0,1.559628497426424,1.4788930245206182,0.44623478982024467,0.8276062213693317,10.689146301269531,120.52733983711765
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,5.365675258784391,0.6630397840738297,0.920277104139328,0.0,0.527725712844619,0.0,1000.0,0.0,0.0,0.5062439202296513,0.0,0.7644612804979484,0.0,189.9595834237558,0.0,1.6686703375431466,0.0,3.1551312384782015,0.0,2181.9813607490146,0.0,0.7644612804979484,0.0,189.95953369140625,0.0,1.6686703375431466,1.5512553617732765,0.5062439202296513,0.7644612804979484,10.257817504882812,117.82699348044679
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,5.56064055907089,0.6674337838888168,0.9082796949148179,0.0,0.4261830026904742,0.0,1000.0,0.0,0.0,0.4618298638434637,0.0,0.7465872612766618,0.0,185.35630217052642,0.0,1.7470412731092133,0.0,1.2467814258166723,0.0,2191.323987824013,0.0,0.7465872612766618,0.0,185.3562992640904,0.0,1.7470412731092133,1.597623870166713,0.4618298638434637,0.7465872612766618,7.784964691162109,92.03560748860853
