algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.6782540395804486,0.8681469774246215,0.49459256246685984,nan,0.824403818164553,6.559428024291992,1000.0,0.0,nan,0,50323,0,303,0.9109692559305468,0.9242769289036747,0.8761572156633649,0.8597398314873378,205.23486110142298,208.45229207356772,4341.53337183194,555.4993025151491,205.23486110142298,208.45229207356772,1.5891148809575697,3.4112849944867745,0.9109692559305468,0.9242769289036747,0.582616925239563,26.62138814508915,2.682416949075092,1.15601404694756,0.8601141692372798,0.9239734966208999,127.94466329956055,394.0810487147366
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.7106789678764804,0.8693924796581268,0.48601637631654737,nan,1.0528545883985667,6.595075840950012,1000.0,0.0,nan,0,51045,0,309,0.9195382061409485,0.9275293352311704,0.854184838441702,0.8442272784312567,207.46203143780048,209.210314839681,4526.605395192987,537.7225116082301,207.46203143780048,209.210314839681,1.6274091456781092,3.4699562168040847,0.9195382061409485,0.9275293352311704,0.4487947133871225,25.19672765960296,2.7329373883536947,1.1641459309058315,0.8446408512112432,0.9271974353009054,130.9202017211914,440.32524723995573
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.757603903569053,0.8703614780306816,0.4783406275510788,nan,1.1671955436468124,6.737212184270223,1000.0,0.0,nan,0,50192,0,304,0.9253079372471986,0.9187299909283199,0.8354074209928513,0.8436864242951075,208.63384819030762,207.25948994954427,4649.710582391546,513.800420732568,208.63384819030762,207.25948994954427,1.6609480411835142,3.534625283531475,0.9253079372471986,0.9187299909283199,0.40186021476984024,34.961253111958506,2.7851543865922905,1.173802636845729,0.8434713852482957,0.9189008466768621,127.69383554077149,382.6756217578056
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.804108378217932,0.8714619782567025,0.4711053991317749,nan,0.9581623338162899,6.679269639650981,1000.0,0.0,nan,0,50308,0,304,0.8702125886942647,0.9285776470778122,0.8937429860234261,0.8195464551448822,196.04750633239746,209.43472635904948,4603.719240976748,498.4023906677943,196.04750633239746,209.43472635904948,1.6970773731351088,3.580912554945853,0.8702125886942647,0.9285776470778122,0.4841924197971821,31.40459062675635,2.827378482221555,1.176834534872137,0.8214736377651041,0.9270616715353822,128.79759591674804,372.70094225630453
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.845895889754935,0.8724324783682823,0.46460458740592003,nan,0.8464754819869995,6.78716602007548,1000.0,0.0,nan,0,50686,0,304,0.8485509642355995,0.9212388103277598,0.9104389945665995,0.8171059526999791,191.6887953016493,207.89637634277344,4625.882725551366,487.9830077539569,191.6887953016493,207.89637634277344,1.7674181733619565,3.627817759431615,0.8485509642355995,0.9212388103277598,0.38552694188223946,17.26013939887285,2.8836579250037517,1.1654374345514653,0.8198243908125992,0.9191216885969202,128.18822412109375,376.05569371229876
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,3.891494807683272,0.8734004780650139,0.45843642085790637,nan,0.9589979300896326,6.964201760292053,1000.0,0.0,nan,0,50198,0,300,0.8994433652107682,0.9070013053274829,0.8334848384062449,0.8236827184756597,202.7167205810547,204.57558817545572,4942.012898828725,472.0420264381997,202.7167205810547,204.57558817545572,1.8021342735815429,3.676677395676623,0.8994433652107682,0.9070013053274829,0.6023288617531458,32.390606753230095,2.926860146838591,1.1684188726701705,0.8238749169056712,0.9068531104232332,125.1779535522461,342.52937064886453
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.9329009923875047,0.8741304776072503,0.4531704303622246,nan,0.9153862529330783,6.838778902689616,1000.0,0.0,nan,0,50764,0,304,0.8987621918248951,0.9194391651834682,0.8226534790462918,0.7955673789978027,202.9351111518012,207.3800946044922,5119.692107719428,461.2590434227205,202.9351111518012,207.3800946044922,1.8393354696695963,3.7140841649927747,0.8987621918248951,0.9194391651834682,0.5646969974040985,30.407628923555215,2.9641846868635033,1.1671816533968933,0.7963562945331957,0.9188369232409853,128.08088876342774,368.90988399258197
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.9664942044636424,0.8749484780430794,0.4481731720268726,nan,1.1117899537086486,6.933559097448985,1000.0,0.0,nan,0,50486,0,306,0.8556322007811532,0.9113280016669155,0.8678875267505646,0.7941947521766027,192.39075164794923,205.57400919596355,4979.619953571576,448.5245547707282,192.39075164794923,205.57400919596355,1.8695291375469578,3.752935734266015,0.8556322007811532,0.9113280016669155,0.745177972316742,28.34063061316808,2.999573095578392,1.173779907382814,0.7965719384531821,0.9095313629286651,127.19222055053712,368.7071319338684
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,3.9985596151781335,0.8755704787373543,0.4432746790349483,nan,0.8084693141281605,6.87027668317159,1000.0,0.0,nan,0,50389,0,303,0.8694908904050266,0.9161597844857112,0.8379884734749794,0.7756188805898031,195.7958526611328,206.68161895751953,5205.162865214204,441.96813062299276,195.7958526611328,206.68161895751953,1.9145176852673245,3.787347026616836,0.8694908904050266,0.9161597844857112,0.3899058401584625,25.704279950261117,3.038215290077031,1.1696406218907562,0.777238870015392,0.9149476054186807,127.14170501708985,348.4634842172229
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,4.039360597250775,0.8762009784579277,0.4392812260985374,nan,0.909754040149542,6.97004810333252,1000.0,0.0,nan,0,50910,0,310,0.8795688463938175,0.9065479589152026,0.8127062458258408,0.776288253168265,198.5355952336238,204.53705525716146,5447.984903212917,434.0733668591834,198.5355952336238,204.53705525716146,1.9799954318417052,3.8238471959557074,0.8795688463938175,0.9065479589152026,0.34574053149956924,26.064875571926436,3.0863064903101067,1.1581130304658862,0.7778008215534039,0.9054274206954646,127.88415863037109,402.09162759904586
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,4.0937438902152055,0.8767479768395424,0.43514644131064417,nan,0.9825422508375985,6.951968270937602,1000.0,0.0,nan,0,50309,0,301,0.8415613938379715,0.9061818314092075,0.8525940605572292,0.7644889330863953,189.9811750139509,204.38804890950522,5300.30715044246,422.60830531632547,189.9811750139509,204.38804890950522,2.024931331549385,3.8594200032204373,0.8415613938379715,0.9061818314092075,0.7510713040828705,28.11185245891412,3.1256245345520166,1.1532914174844422,0.7664978447876847,0.9047084012365736,125.29256579589844,327.76928329598974
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.139917351056208,0.8772969791293144,0.43164973333477974,nan,1.0186452716588974,6.886799144744873,1000.0,0.0,nan,0,50485,0,305,0.804855987447225,0.908893380977879,0.8916104733943939,0.7483376902341843,181.6448532104492,205.01439758300782,5199.85462450717,417.94573742063545,181.6448532104492,205.01439758300782,2.088307987965224,3.8936886667198722,0.804855987447225,0.908893380977879,0.5054739654064179,28.322928799092768,3.171536395218013,1.139253597260552,0.7529593929167717,0.9055373360252772,126.64153561401368,354.7645349425247
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.190983232107471,0.8778669774532318,0.4282252037525177,nan,0.8803099513053894,6.882082928021749,1000.0,0.0,nan,0,49920,0,300,0.8327007661411381,0.9062153666962928,0.8417397737503052,0.7394833074013392,187.83704528808593,204.38449885050457,5278.504472034541,411.4337451981562,187.83704528808593,204.38449885050457,2.126800192345813,3.929519243270409,0.8327007661411381,0.9062153666962928,0.3787116467952728,42.90426665753126,3.2084316229005707,1.134902328165552,0.7411596429152567,0.9050102093101429,124.50906976318359,299.6452918392391
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.234029876756827,0.8782239782810212,0.4252782033383846,nan,0.9875973623532516,6.748168295224508,1000.0,0.0,nan,0,51125,0,307,0.8527049423484099,0.9128650712393536,0.8019942457859333,0.7174724176526069,192.10973064716046,205.94198705037434,5624.909168133327,404.5723879083487,192.10973064716046,205.94198705037434,2.1585116243824496,3.9629223568292886,0.8527049423484099,0.9128650712393536,0.48003809727155244,22.696736141840617,3.2411580638505524,1.137742319028854,0.7209829089169304,0.9103664077390905,128.56004522705078,388.99107111647567
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.263377370219659,0.8787464767694473,0.42240828841924666,nan,1.0083900473334573,6.859980548222859,1000.0,0.0,nan,0,50773,0,307,0.8431787222139623,0.9004672382740326,0.8034724376418374,0.722176163593928,190.4038349498402,203.10747716267903,5643.334571644086,399.46653052067103,190.4038349498402,203.10747716267903,2.208777044150024,4.000793504399795,0.8431787222139623,0.9004672382740326,0.37568687850778754,22.83088079015414,3.283986920299887,1.1304822261211076,0.7250515945088059,0.8984409563555092,126.05337066650391,363.83327888857247
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.303129757773247,0.8791974782943726,0.41950509503483774,nan,0.708814670642217,6.703345031738281,1000.0,0.0,nan,0,50163,0,301,0.8123793537162767,0.9075732534459614,0.8355927765369415,0.6991485599676768,183.2433090209961,204.7382282002767,5680.0266630419,399.3025769987251,183.2433090209961,204.7382282002767,2.2509552626337577,4.036217561618623,0.8123793537162767,0.9075732534459614,0.3917219638824463,32.503221309781075,3.322112642024677,1.124829090578206,0.7018239367631526,0.9057067063924381,125.04185662841797,307.7418661557379
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.346718733025363,0.8795489761233329,0.4172877965867519,nan,1.1260219037532806,6.628175786336263,1000.0,0.0,nan,0,50383,0,305,0.829445086781662,0.9081331964384352,0.7991836369037628,0.6852641367912292,186.82903594970702,204.90968663533528,5881.9495226625995,392.7362019237741,186.82903594970702,204.90968663533528,2.304086066128268,4.071905056835163,0.829445086781662,0.9081331964384352,0.360390967130661,32.48771172920863,3.3647774605524066,1.1164617220167519,0.6889389593755045,0.9055948703204745,126.68239270019531,353.2807116075165
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.397795390560543,0.8797514793276787,0.41528002768754957,nan,1.0040373057127,6.551786654790242,1000.0,0.0,nan,0,51525,0,315,0.879734286578127,0.9083094302402678,0.7135781099398931,0.6717931177218756,198.4881880018446,204.9356187947591,6302.332725373228,388.0992859928946,198.4881880018446,204.9356187947591,2.3495270573964935,4.107342852632329,0.879734286578127,0.9083094302402678,0.301836093266805,17.952970559696357,3.404216534537995,1.1152996460394535,0.6741583059606312,0.9066919692782598,130.10694604492187,459.743549709173
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.4491597896794515,0.8801264783740044,0.41299436524510386,nan,1.0074532717466353,6.6255100973447165,1000.0,0.0,nan,0,50333,0,305,0.7998989433708167,0.897723714504613,0.8185646235942841,0.6740793154637019,180.5890625,202.53272654215496,5793.720354870371,384.75548620946887,180.5890625,202.53272654215496,2.4085540745950933,4.1473740568281,0.7998989433708167,0.897723714504613,0.3014817416667938,23.180494556128977,3.4518460639348967,1.1060389972291822,0.678740131855011,0.8945680767261033,125.13141717529297,346.72769882308864
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,40,4.52060545976942,0.8804159757494926,0.41098697736859324,nan,1.2565533585018582,6.420785044034322,1000.0,0.0,nan,0,50902,0,304,0.7987471372416569,0.9059549906506625,0.8084092934926351,0.6484739699959755,179.9621056450738,204.3733489481608,5748.554291731649,382.2659828340298,179.9621056450738,204.3733489481608,2.4204939854082275,4.184855927827235,0.7987471372416569,0.9059549906506625,1.5227611462275188,15.670950516661009,3.4791111508596324,1.1195401162152079,0.6531322803890821,0.902832431813507,125.86332727050781,332.83356695158756
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,41,4.589087374701818,0.8804219773411751,0.4098509393632412,nan,1.5271222926676273,6.359447823365529,1000.0,0.0,nan,0,51201,0,311,0.7867181138287012,0.904009127907194,0.8145591542124748,0.6378229681650798,177.3607473373413,203.9555839029948,5775.469300813247,385.0054081081333,177.3607473373413,203.9555839029948,2.4541246955708975,4.223071934105119,0.7867181138287012,0.904009127907194,1.8718460500240326,16.527130964199703,3.5154930386914303,1.1295224522233123,0.6467716358130491,0.8980703423842323,128.0488942565918,415.8182624909039
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,42,4.692482167818912,0.88080397605896,0.40778156980872154,nan,1.1820420225461323,6.308699323336284,1000.0,0.0,nan,0,50195,0,301,0.8079621124217669,0.9010647141008212,0.7703127264976501,0.6286141460140546,181.9872843424479,203.2920765177409,6017.188996823693,383.0989731780819,181.9872843424479,203.2920765177409,2.471222535216197,4.26222352637738,0.8079621124217669,0.9010647141008212,1.6286375125249226,24.688096735080084,3.5458231299129066,1.1403028025954862,0.6313925495529487,0.899239172891428,124.1590933227539,302.0656518687335
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,43,4.828362656882986,0.8809964790940285,0.406136404722929,nan,1.139563610156377,6.158039241631826,1000.0,0.0,nan,0,50780,0,308,0.7596012131640103,0.9043299603830216,0.8322973201672236,0.6098119646310807,171.2785962422689,203.98160776774088,5652.887355955575,377.6535690577919,171.2785962422689,203.98160776774088,2.5629317525297197,4.2999125376086,0.7596012131640103,0.9043299603830216,0.3338869164387385,15.375992459456127,3.605120223577048,1.1164285709924033,0.618369093690163,0.8987634701053673,126.49965097045899,362.261437977609
