algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,87,3.916240373005058,0.8021419790387153,0.6809247769415379,0.9991935483870968,0.011544012863721167,15440748.07,1000.0,0.8874643874643875,1.0,10275,377,0,68,0.567782325404031,10808523.42875,3.9162403730050594,0.0,0.31158500058310373,6504477.82125,26.928571428571427,102.75,0.028481271476821318,0.0,3.9162403730050594,1.3322676295501878e-15,1.6050000000000002,0.9378175113800554,0.25871786439726624
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,88,3.958594794875645,0.8024514800310135,0.6783960013091564,1.0,0.011795708635712372,27666438.3,1000.0,0.8888888888888888,1.0,10311,412,0,125,0.49147104515748863,19366506.3625,3.958594794875645,0.0,0.2777948747662937,11648319.4775,24.235294117647058,103.11,0.027973626207231827,0.0,3.958594794875645,0.0,1.62,0.9373849268054713,0.2552230833397925
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,89,4.00182186932881,0.8027859790623189,0.6759369191527367,0.9994594594594595,0.011559976730495691,49478169.56,1000.0,0.9989247311827956,1.0,10480,581,0,91,0.5608908049762249,34634717.575,4.0018218693288095,0.0,0.29362113680690527,20841231.0825,36.3125,104.8,0.029389205883043293,0.0,4.0018218693288095,8.881784197001252e-16,1.635,0.9370564521531812,0.2472084337506331
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,90,4.045943537463281,0.8030689792335033,0.6735987621545791,1.0,0.011381622683256865,88680266.07,1000.0,0.9333333333333333,1.0,10469,571,0,398,0.34333732426166536,62076185.02,4.045943537463281,0.0,0.2505636220177015,37332076.36,19.033333333333335,104.69,0.02924477119651712,0.0,4.045943537463281,0.0,1.65,0.9355652472169991,0.24005824378315843
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,91,4.090982666874294,0.8033582305908203,0.6712895165383815,1.0,0.011403144775506328,159044453.78,1000.0,1.0,1.0,10294,394,0,112,0.5038592359598946,111331114.76,4.090982666874295,0.0,0.2876441697863972,66926188.53,23.176470588235293,102.94,0.02979254753766809,0.0,4.090982666874295,8.881784197001252e-16,1.6649999999999998,0.9351213542197754,0.23264239798717606
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,92,4.136963102650078,0.8036387300491333,0.6690859761834145,0.9991546914623838,0.01125024799257517,284649592.36,1000.0,0.6988235294117647,1.0,10276,381,0,179,0.41958131939172744,199254709.3,4.136963102650078,0.0,0.2603697843849659,119847520.96,19.05,102.76,0.02663788267352382,0.0,4.136963102650078,0.0,1.6800000000000002,0.9344509922420037,0.22760883538539248
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,93,4.183909721536838,0.8039487299323081,0.6668953308463097,1.0,0.011313302930267085,509887772.4,1000.0,0.7142857142857143,1.0,10293,398,0,185,0.36157832684971036,356921431.96,4.183909721536837,0.0,0.22592983785129728,214658766.64,18.952380952380953,102.93,0.024452976082975978,0.0,4.183909721536837,8.881784197001252e-16,1.695,0.933793377892505,0.22277937786779936
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,94,4.231848489478358,0.8041797307133675,0.6648296096920967,1.0,0.010908581141848117,913410168.64,1000.0,1.0,1.0,10462,562,0,88,0.439659072086215,639387098.88,4.2318484894783595,0.0,0.23562720883637667,384517983.96,35.125,104.62,0.025503317037235185,0.0,4.2318484894783595,1.7763568394002505e-15,1.71,0.9334513388304945,0.21312090316880725
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,95,4.28080652274961,0.8044894796609878,0.6626792691648007,1.0,0.010971344720858794,1637221803.04,1000.0,1.0,1.0,10496,596,0,286,0.3657500675091377,1146055229.76,4.280806522749609,0.0,0.24976777743834716,689073919.92,22.923076923076923,104.96,0.02739140022816747,0.0,4.280806522749609,8.881784197001252e-16,1.7249999999999999,0.9323727818984692,0.20621135227255696
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,96,4.330812152917754,0.8047167305648327,0.6606603157520294,1.0,0.010847290939030549,2937577141.12,1000.0,0.75,1.0,10169,271,0,334,0.2987878310183684,2056303933.76,4.330812152917753,0.0,0.2214454859495163,1235864723.04,11.291666666666666,101.69,0.024070571631231646,0.0,4.330812152917753,8.881784197001252e-16,1.7400000000000002,0.9310809646379832,0.20165411382747214
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,97,4.381894995878737,0.8049137298762798,0.6587802641093731,1.0,0.01074133152585654,5251264334.08,1000.0,0.8181818181818182,1.0,10405,507,0,176,0.40885873493694125,3675884925.44,4.381894995878738,0.0,0.24313157300154367,2211690948.48,24.142857142857142,104.05,0.026607297125032323,0.0,4.381894995878738,8.881784197001252e-16,1.7550000000000001,0.9304201478850604,0.19133755415285558
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,98,4.434086025233358,0.8051482309401036,0.6569569890201091,1.0,0.010655117952930076,9423727490.56,1000.0,0.8888888888888888,1.0,10237,338,0,81,0.45338659414223265,6596609075.84,4.434086025233357,0.0,0.2554381308811052,3965318625.92,24.142857142857142,102.37,0.024204364050457,0.0,4.434086025233357,8.881784197001252e-16,1.77,0.930114476506241,0.18686975814244994
trust-aware,scale,mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,99,4.4874176502831755,0.8053744801878929,0.6551564030349255,0.9956709956709957,0.010373326577246189,16879428840.96,1000.0,0.9090909090909092,1.0,10510,614,0,150,0.4274872362613678,11815599801.6,4.487417650283176,0.0,0.25273748114705086,7104851649.28,30.7,105.1,0.025589273347498366,0.0,4.487417650283176,8.881784197001252e-16,1.785,0.9295367468878178,0.17901808636981398
