algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.7568423144022624,0.7069669783115387,nan,0.048601898302634554,0.049584463648498056,1000.0,nan,nan,0,80,0,30652,0.13819995791177503,0.118924152356645,1.0623545611125644,1.0623545611125642,0.0,0.4,1.3561320185661316,0.46389909341931346,0.7687717775503794,0.24346542686223985,1.0623545611125642,2.220446049250313e-16,0.6,0.9854760755678881,0.756110947200906
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.7587189835309982,0.6992834617694219,nan,0.0458261085053285,0.04778482658788562,1000.0,nan,nan,0,97,0,30713,0.15827086818211708,0.11313448867617198,1.1045192595593833,1.1045192595593836,0.0,0.485,1.2964302003383636,0.4267000100016594,0.7974037304520607,0.22685252107679843,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9850540502407682,0.7561793215709065
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.7607503139972687,0.6916149334112803,nan,0.045869506307338416,0.04677312834188342,1000.0,nan,nan,0,212,0,31166,0.14474329548841272,0.1081492425353368,1.148899646893674,1.1488996468936743,0.0,1.06,1.1107967903739528,0.4181130309402943,0.6986786205517618,0.217761809527874,1.1488996468936743,2.220446049250313e-16,0.63,0.9840394897813666,0.7525784859851133
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.762393981218338,0.6849897756179174,nan,0.04521295571556458,0.04567688113078475,1000.0,0.0,nan,0,149,0,30525,0.15569839314458084,0.1036021694964686,1.193222654771587,1.1932226547715867,0.15384615384615385,0.735,1.3447045271213238,0.4026628696918488,0.8320392565085337,0.20910769946873187,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9835485586709213,0.7479693988431799
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.7642259802420934,0.6785614031553269,nan,0.04263133058945338,0.04443564144894481,1000.0,0.0,nan,0,175,0,30755,0.14300825507951054,0.09951449734521489,1.2237170788729463,1.2237170788729461,0.13333333333333333,0.865,1.0746424039204916,0.3882417373359203,0.7049500207106273,0.20109025187790394,1.2237170788729463,2.220446049250313e-16,0.66,0.9828753517790887,0.7437362794734174
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.7655549794435501,0.6731548768281936,nan,0.04201644534866015,0.043605583887547254,1000.0,nan,nan,0,28,0,30830,0.11503793365869701,0.09584702139374265,1.2553701641143242,1.2553701641143242,0.0,0.14,1.0580286160111427,0.3784201385080814,0.568759402881066,0.19564768202602864,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9824646058482566,0.7357248396723676
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.7669736460844676,0.6674936842918396,nan,0.04269377371439567,0.04288347216323018,1000.0,0.0,nan,0,184,0,30710,0.15352287948881116,0.09264226606234122,1.2882265209338717,1.2882265209338717,0.38461538461538464,0.895,1.0816863018732805,0.3585922507941723,0.705276513328919,0.18682301849126814,1.288226520933872,4.440892098500626e-16,0.69,0.9819666918672294,0.7333159278863061
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.7684879791736603,0.6625432999928792,nan,0.04025378363097415,0.0423340729996562,1000.0,0.0,nan,0,260,0,31108,0.14646824791409,0.08971931340733579,1.3223351707503765,1.3223351707503763,0.17647058823529413,1.285,0.999678397879881,0.349022875726223,0.7365008355940089,0.18011177703738213,1.3223351707503765,2.220446049250313e-16,0.705,0.9809340770322276,0.7292151800534531
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.769881979227066,0.657613249818484,nan,0.04098987995701678,0.04128887383267284,1000.0,0.0,nan,0,150,0,31088,0.11064688757008892,0.08699642568617434,1.3577503788831171,1.3577503788831173,0.11764705882352941,0.74,0.886104562703301,0.33986985981464385,0.5261456563192255,0.17531734511256217,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.980112133376658,0.7220264452361884
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.7711623148123423,0.6532388724883398,nan,0.03970945719629526,0.04045601330697537,1000.0,nan,nan,0,268,0,31150,0.12977352311302148,0.08451495481764157,1.3945327218869126,1.3945327218869124,0.0,1.34,0.8380593154579401,0.32119244053959844,0.5853504603728652,0.16759790860116483,1.3945327218869124,0.0,0.735,0.9794343601782118,0.7195429361716056
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,30,1.4327504734265042,0.7723639812072118,0.6490230097373326,nan,0.039224873381582176,0.040069050416350366,1000.0,nan,nan,0,243,0,31261,0.12243887253008122,0.08222161731537886,1.432750473426504,1.432750473426504,0.0,1.215,0.8259942612864755,0.325682465583086,0.6674172316085208,0.16655852064490317,1.4327504734265044,2.220446049250313e-16,0.75,0.9778902966392955,0.7126203050482871
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,31,1.4724814279430891,0.7734766467412313,0.64509996453921,nan,0.0397902000695467,0.03955155374482274,1000.0,0.0,nan,0,140,0,30748,0.13651452430370417,0.08009354756690704,1.4724814279430893,1.4724814279430891,0.16666666666666666,0.69,0.8956408773859342,0.30059728533029556,0.6283635621269544,0.15778118804097174,1.472481427943089,2.220446049250313e-16,0.7649999999999999,0.9775459777035365,0.7125281353660079
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,32,1.5138153326430999,0.7744919780890147,0.641477038860321,nan,0.037667340670640655,0.039146904833614826,1000.0,0.0,nan,0,89,0,30767,0.10907638072239238,0.07807900129852642,1.5138153326430999,1.5138153326430999,0.07692307692307693,0.44,0.8880294240438021,0.3020102420449257,0.5564161149355081,0.15442320480942726,1.5138153326430996,2.220446049250313e-16,0.78,0.9770294570614977,0.70757161968416
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,33,1.5568571736316952,0.7756423141558965,0.6378780271609624,nan,0.03768774742881457,0.038401958625763656,1000.0,nan,nan,0,132,0,30678,0.1068243241575993,0.07616995947367848,1.556857173631695,1.556857173631695,0.0,0.66,0.9406505475441614,0.2874605841189623,0.5357070118188858,0.1491500034928322,1.5568571736316952,0.0,0.795,0.9766152888602847,0.7053500186275746
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,34,1.5961356544147973,0.7766099820534388,0.6346696017185847,nan,0.0380967724258485,0.037857205010950565,1000.0,0.0,nan,0,462,0,31894,0.11908450303790509,0.07437002533378129,1.5961356544147975,1.5961356544147975,0.13043478260869565,2.295,0.6632942583249963,0.2844793419539928,0.49760811484378314,0.1462582825496793,1.5961356544147978,4.440892098500626e-16,0.81,0.9752242133592767,0.703189153753679
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,35,1.6303152389904,0.7775059811274211,0.6315505466858546,nan,0.0366107573111852,0.037400707099586726,1000.0,nan,nan,0,81,0,30693,0.11463493725072532,0.07267061650216484,1.6303152389903999,1.6303152389903997,0.0,0.405,1.0165464480717976,0.27700439020991324,0.6980878127117952,0.1425953847169876,1.6303152389903999,2.220446049250313e-16,0.825,0.9747343027897644,0.7016650164332091
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,36,1.6656394806877934,0.7779603139559428,0.6290793810288111,nan,0.03458062062660853,0.03683257158845663,1000.0,0.0,nan,0,180,0,30750,0.10327762676030632,0.0710077380411942,1.6656394806877937,1.6656394806877939,0.25,0.885,0.8314198056856791,0.2745677036046982,0.5449592247605324,0.140549792163074,1.6656394806877939,4.440892098500626e-16,0.84,0.9743494277021849,0.6974607942893741
trust-aware,scale,fashion_mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,37,1.7021545775828013,0.7789749813079834,0.6265486502647399,nan,0.03603548996827819,0.036560466587543486,1000.0,nan,nan,0,83,0,30185,0.09913718612416446,0.06943489782644176,1.702154577582801,1.7021545775828013,0.0,0.415,1.1754623543132434,0.2660357616841793,0.7363297058777376,0.13708609856665135,1.7021545775828018,4.440892098500626e-16,0.855,0.9738574308307709,0.6955616516800404
