algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.6964926487207412,35.277936631540456,0.9061468364277324,43.70423323967878,338.39511852264405,1000.0,0.5467248083827444,1.0,30490,590,38,176,232.6161319508272,0.0,2.5586299320667023,0.0,232.6161319508272,0.0,1.0311579928504297,0.0,0.2305258082718972,0.0,475.7760648166432,7161.533197021485,1122.9765144712658,0.0,1.0311579928504297,0.0,2.5586299320667023,1.0361942705815672,0.2305258082718972,1.0311579928504297,13.181580810546874,63.63533582003838
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.6985973156491916,35.25023979236682,0.9344012857078385,53.56503613178547,355.5815174484253,1000.0,0.6090384631100171,1.0,30212,391,102,107,222.7108119084285,0.0,2.563566249161282,0.0,222.7108119084285,0.0,0.988443204280617,0.0,0.28677783319010186,0.0,1060.7535376915564,18694.91150390625,906.9019693595952,0.0,0.988443204280617,0.0,2.563566249161282,1.036049598694557,0.28677783319010186,0.988443204280617,9.650801849365234,39.299085338915795
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.199591622232007,0.7000916487475236,34.66284255772829,0.9467104779018526,38.63962950706482,480.4358416366577,1000.0,0.6302906751001969,1.0,30096,263,112,95,228.1543991088867,0.0,2.5833137105886492,0.0,228.1543991088867,0.0,1.0104669098662065,0.0,0.2360838214866817,0.0,147.7651123046875,13405.82283935547,1952.8206187757035,0.0,1.0104669098662065,0.0,2.5833137105886492,1.0364437010354983,0.2360838214866817,1.0104669098662065,7.605146636962891,65.09402062585679
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.360122263525489,0.688980983098348,36.06923586418231,0.8435018495200185,65.32198529243469,593.1158787536621,1000.0,0.3465057006360816,1.0,30277,563,79,137,200.74701919555665,0.0,2.6577652038912416,0.0,200.74701919555665,0.0,0.8900132696071994,0.0,0.43849191833287476,0.0,402.7664956331253,10300.964598388671,1742.0095182400214,0.0,0.8900132696071994,0.0,2.6577652038912416,1.0369279757549703,0.43849191833287476,0.8900132696071994,13.38313461303711,116.1339678826681
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.360122263525489,0.6832033171753089,37.096285264790055,0.9011765251503838,59.63114301363627,685.1873195648193,1000.0,0.4807033794885854,1.0,30617,940,68,151,209.55855814615884,0.0,2.7047440257264683,0.0,209.55855814615884,0.0,0.9289597055814539,0.0,0.3468449477222748,0.0,368.1669108072917,7221.149775390625,1750.8828155367835,0.0,0.9289597055814539,0.0,2.7047440257264683,1.0333484127548618,0.3468449477222748,0.9289597055814539,16.764684651692708,140.07062524294267
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.360122263525489,0.6832836476216714,37.272796551585195,0.9108394867869714,60.536345863342284,701.4699174499511,1000.0,0.5076250949943337,1.0,30264,426,79,133,205.2969736735026,0.0,2.729233561195293,0.0,205.2969736735026,0.0,0.9096589591550932,0.0,0.3645061952372392,0.0,1998.7127584457398,9926.208453850746,1592.6317208969929,0.0,0.9096589591550932,0.0,2.729233561195293,1.034119305865826,0.3645061952372392,0.9096589591550932,10.26484868367513,79.63158604484964
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.360122263525489,0.6906246476868788,36.72644726236661,0.9371479989174082,40.415494879086815,731.3921602249145,1000.0,0.6644628191223556,1.0,30295,401,72,136,221.7350870768229,0.0,2.735088800969494,0.0,221.7350870768229,0.0,0.9845530758451483,0.0,0.20602733052025238,0.0,426.9291534423828,7629.213719177246,611.6511755998932,0.0,0.9845530758451483,0.0,2.735088800969494,1.0323651208697113,0.20602733052025238,0.9845530758451483,8.869403483072917,24.466047023995724
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.360122263525489,0.6906493160128594,37.3620130482316,0.8396399686100648,45.46930178254843,732.8887468338013,1000.0,0.4264511757468977,1.0,30172,416,100,114,214.1612663269043,0.0,2.7602592457043165,0.0,214.1612663269043,0.0,0.9501687418769538,0.0,0.25782214023638517,0.0,19.462117224931717,13221.612118530273,1330.489975367936,0.0,0.9501687418769538,0.0,2.7602592457043165,1.0289957468749755,0.25782214023638517,0.9501687418769538,11.421934204101563,70.95946535295658
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.360122263525489,0.6859503177305063,38.63535545408726,0.93072189433007,64.24367424845695,803.0951718139648,1000.0,0.5462350205993615,1.0,30436,562,56,158,196.85394763946533,0.0,2.804091516319799,0.0,196.85394763946533,0.0,0.8728485524605095,0.0,0.39191018126439303,0.0,1237.7480947971344,17284.061618652344,1439.2052732513882,0.0,0.8728485524605095,0.0,2.804091516319799,1.0209531157331724,0.39191018126439303,0.8728485524605095,10.49887720743815,76.75761457340737
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.360122263525489,0.6842013172805309,39.290611301263176,0.8848291339904837,58.226651656000236,922.7891339492797,1000.0,0.5536704458703156,1.0,30464,691,77,138,202.25436401367188,0.0,2.819724662649528,0.0,202.25436401367188,0.0,0.8965826381442935,0.0,0.3165669534355402,0.0,1793.4576223273027,12736.052587738037,1279.5446928056838,0.0,0.8965826381442935,0.0,2.819724662649528,1.0194626121133168,0.3165669534355402,0.8965826381442935,12.80944305419922,81.03783054435995
