algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,82,6.434750033456884,0.8817064779996872,0.4066020205616951,0.9410919540229885,1.3985127806663513,315.0017481994629,1000.0,0.2965811965811966,1.0,9841,52,98,3,7229.395612817049,0.0,135.48758951822916,0.0,0.6002290721471661,0.0,4.674356308664016,0.0,135.48758951822916,0.0,2.336465671658516,99.47894287109375,0.6002290721471661,0.0,0.8350416521231333,0.0,4.674356308664016,1.165195312070347,0.8350416521231333,0.6002290721471661,2.0323138427734375,108.44093419225574
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,83,6.434750033456884,0.8809937272965908,0.41649240866303444,0.9313298016003266,1.7666768199867673,801.9593713378906,1000.0,0.3885957109073971,1.0,10310,435,0,113,6533.589338457558,0.0,135.78971778021918,0.0,0.6025030486001073,0.0,4.723235923937749,0.0,135.78971778021918,0.0,2.6377059751086764,8.519911777973174,0.6025030486001073,0.0,0.7661719222863516,0.0,4.723235923937749,1.1435333976737567,0.7661719222863516,0.6025030486001073,6.110537300109863,294.0115202305902
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,84,6.434750033456884,0.8817092283070087,0.40608398519456385,0.8474496638551471,1.4426141238212586,800.4055828857422,1000.0,0.5166659986652476,1.0,10715,984,0,121,6890.870072175976,0.0,137.3323828125,0.0,0.6086107489800807,0.0,4.7638455379138955,0.0,137.3323828125,0.0,0.8417927193641662,12.52456579208374,0.6086107489800807,0.0,0.7298344802856446,0.0,4.7638455379138955,1.151189945838818,0.7298344802856446,0.6086107489800807,8.58327392578125,430.6793795109985
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,85,6.601510869900869,0.8798477291502058,4207.6360691792515,0.9217719025290396,1.5751419216394424,802.6823010253906,1000.0,0.27478818659950366,0.997979797979798,10243,363,6,106,6268.292563544953,0.0,139.9155979156494,0.0,0.6207156728144541,0.0,4.800940512345208,0.0,139.9155979156494,0.0,133.55742567032576,108.69300621032716,0.6207156728144541,0.0,0.6776091968640685,0.0,4.800940512345208,1.1457182707151754,0.6776091968640685,0.6207156728144541,5.596623916625976,250.73170254179811
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,86,6.601510869900869,0.879750978462398,94.56289330750704,0.8918206793971685,1.7059577123114937,906.0159222412109,1000.0,0.42754574939725315,1.0,10408,549,0,115,6377.12911300428,0.0,136.50991821289062,0.0,0.6057779572337767,0.0,4.8386056718674055,0.0,136.50991821289062,0.0,1.6240231175171702,7.833626599311828,0.6057779572337767,0.0,0.6866664572765953,0.0,4.8386056718674055,1.1494328555907156,0.6866664572765953,0.6057779572337767,6.484221115112304,302.9136328677033
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,87,6.665696916196276,0.8798937284201384,111.37797824576496,0.9131283916107584,1.3379891429628645,905.2110665893555,1000.0,0.4879151019347806,1.0,10275,337,0,108,7206.727209768346,0.0,137.4201943533761,0.0,0.6089969190537854,0.0,4.872639012090275,0.0,137.4201943533761,0.0,1.12909511583192,2.3344344800710677,0.6089969190537854,0.0,0.727052607706615,0.0,4.872639012090275,1.1358307694857839,0.727052607706615,0.6089969190537854,4.809706802368164,252.2354523418921
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,88,6.729846673536929,0.8796684771962464,64.53919803097844,0.8982429378925632,1.985082465059617,904.0530944824219,1000.0,0.3894467070745538,1.0,10306,430,5,107,6955.111404567873,0.0,135.4628403607537,0.0,0.6002290721471661,0.0,4.90001201615274,0.0,135.4628403607537,0.0,3.1749975821551155,104.23802602052689,0.6002290721471661,0.0,0.7550146439496208,0.0,4.90001201615274,1.1446075497137858,0.7550146439496208,0.6002290721471661,5.757170715332031,295.5922346941346
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,89,6.729846673536929,0.8796112275123597,45.796052395403386,0.9381361826845621,1.730874590575695,971.2008477783203,1000.0,0.5548024183572547,1.0,10480,561,0,111,6840.560345061065,0.0,136.95656490325928,0.0,0.6065175790784657,0.0,4.9349460011660184,0.0,136.95656490325928,0.0,3.116164430975914,15.796767253875732,0.6065175790784657,0.0,0.7172655649483204,0.0,4.9349460011660184,1.1361262919185235,0.7172655649483204,0.6065175790784657,5.478262596130371,273.6224138024426
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,90,6.9782263326358835,0.8793777270987629,46.63196775071323,0.8133932357471478,1.8133985896905263,967.807756652832,1000.0,0.3363728883535622,1.0,10469,843,0,126,7031.373740827465,0.0,135.38831888834636,0.0,0.6006164805782228,0.0,5.012314227771264,0.0,135.38831888834636,0.0,1.8487314760684967,22.527454175949096,0.6006164805782228,0.0,0.7232525746027628,0.0,5.012314227771264,1.11037614542231,0.7232525746027628,0.6006164805782228,10.154123916625977,527.3530305620598
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,91,6.9782263326358835,0.8795852261409164,30.692544724792242,0.8920825185372998,1.7075460903784807,969.8166003417969,1000.0,0.477985953712986,1.0,10279,408,15,98,7298.685832205323,0.0,135.1744582232307,0.0,0.6002290721471661,0.0,5.053813233803363,0.0,135.1744582232307,0.0,2.4933123798931347,319.26180723190305,0.6002290721471661,0.0,0.7550693645196802,0.0,5.053813233803363,1.095576452846152,0.7550693645196802,0.6002290721471661,5.744914474487305,310.19414786872625
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,92,7.0212033908882745,0.8792314775288105,24.627009084522726,0.9265852513699733,1.799913078546524,1201.9996575927735,1000.0,0.3066036917779127,1.0,10276,443,0,117,7007.8268822264745,0.0,135.5136344909668,0.0,0.6005815631116607,0.0,5.086336480639152,0.0,135.5136344909668,0.0,3.0979916572570803,7.880811948776245,0.6005815631116607,0.0,0.7430946990847588,0.0,5.086336480639152,1.099382806430427,0.7430946990847588,0.6005815631116607,6.77568172454834,350.3913441113237
