algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,61,5.53665981797095,0.8831434772908687,0.3908370791375637,0.8798319204270936,1.4090972197683234,28.680636358261108,1000.0,0.3913131594708151,1.0,10395,545,0,114,0.6701863334241291,0.0,3.5594547572335613,0.0,0.7775870216520209,0.0,0.6701863334241291,0.0,151.2566640753495,0.0,0.9395076459959933,6.373752880096435,6204.660574224228,0.0,151.2566640753495,0.0,3.5594547572335613,1.1495838398887477,0.7775870216520209,0.6701863334241291,7.184691543579102,294.72137727565087
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,62,5.577264439644867,0.883097978234291,0.3905641492456198,0.9010847022659552,1.3463350656357678,28.518904600143433,1000.0,0.34036987072662156,1.0,10355,549,0,118,0.6507434431353225,0.0,3.6423061803612695,0.0,0.8017224723642523,0.0,0.6507434431353225,0.0,146.90413110906428,0.0,0.7762388519265435,8.65759078502655,6236.318562196437,0.0,146.90413110906428,0.0,3.6423061803612695,1.1521088606271759,0.8017224723642523,0.6507434431353225,8.079727210998534,342.997520920804
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,63,5.577264439644867,0.8830229775607585,0.39065261341631413,0.8264170839840237,1.4666114813751645,28.542101345062257,1000.0,0.3540873515558752,1.0,10427,729,0,124,0.6770687896146179,0.0,3.701176947025878,0.0,0.7302933401531644,0.0,0.6770687896146179,0.0,152.740394309715,0.0,1.1744228579379894,7.767198712825775,6217.123367985019,0.0,152.740394309715,0.0,3.701176947025878,1.1714156636750768,0.7302933401531644,0.6770687896146179,10.30997661590576,419.65582733898884
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,64,5.577264439644867,0.882866977006197,0.3908017474412918,0.9204807007738685,1.7382516070552494,28.504059867858885,1000.0,0.5966208109995899,1.0,10907,1086,0,119,0.6466704947972616,0.0,3.7724882556663806,0.0,0.7803165757137797,0.0,0.6466704947972616,0.0,145.7469834037449,0.0,4.243072893308557,33.0001878452301,5974.604172755296,0.0,145.7469834037449,0.0,3.7724882556663806,1.1773933580512383,0.7803165757137797,0.6466704947972616,8.380451545715331,343.53973993342953
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,65,5.641076522017706,0.8828737270832062,0.39062931515276433,0.8976698167131539,1.4105082988739013,28.768317317962648,1000.0,0.46209247006791215,1.0,10680,897,0,121,0.6380196104583787,0.0,3.8336217593714843,0.0,0.783851900100708,0.0,0.6380196104583787,0.0,143.98887084960938,0.0,1.184428153038025,16.336448364257812,6160.926196294008,0.0,143.98887084960938,0.0,3.8336217593714843,1.2011625387769485,0.783851900100708,0.6380196104583787,8.999304428100587,385.0578872683755
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,66,5.641076522017706,0.8829404777288437,0.3902078965306282,0.9741963635196839,1.384934910469585,28.645635328292848,1000.0,0.21125721989543128,1.0,10176,310,0,112,0.6429559719111173,0.0,3.8720783252803153,0.0,0.7563246289889017,0.0,0.6429559719111173,0.0,144.99800703260632,0.0,1.0982075068685744,2.578741641044617,6352.635305524722,0.0,144.99800703260632,0.0,3.8720783252803153,1.217616876406527,0.7563246289889017,0.6429559719111173,6.5249103164672855,285.86858874861247
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,67,5.759287111765774,0.8829062283039093,0.39014192543923853,0.8403740179129899,1.363234900615432,28.76418116569519,1000.0,0.2770792079049181,1.0,10233,452,0,119,0.6234978576504925,0.0,3.967257666292621,0.0,0.8105679614977404,0.0,0.6234978576504925,0.0,140.65858598188922,0.0,0.6133717433972792,2.8899831318855287,6156.842097066106,0.0,140.65858598188922,0.0,3.967257666292621,1.1917594387554609,0.8105679614977404,0.6234978576504925,7.736222229003906,338.6263153386358
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,68,6.060769043005112,0.8827552281320095,0.39065383657813074,0.8317377848616765,1.6581695620660428,28.703934507369993,1000.0,0.332725633318443,1.0,10428,732,0,122,0.6202370494992946,0.0,4.062324709868604,0.0,0.7976326081487868,0.0,0.6202370494992946,0.0,139.86720558449073,0.0,1.0187350003807634,7.781504731178284,6110.40545477093,0.0,139.86720558449073,0.0,4.062324709868604,1.1990995965126883,0.7976326081487868,0.6202370494992946,9.441036376953125,412.4523681970378
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,69,6.17897963275318,0.8829869785904885,0.3898971427977085,0.7660256410256411,1.0232447783152263,28.74100794792175,1000.0,0.22335140018066846,1.0,9977,147,62,44,0.622540427828682,0.0,4.108651062015343,0.0,0.8005029608805975,0.0,0.622540427828682,0.0,140.55023447672525,0.0,6.866016790270805,48.32335842370987,6368.864439537559,0.0,140.55023447672525,0.0,4.108651062015343,1.1779541688004411,0.8005029608805975,0.622540427828682,4.216507034301758,191.06593318612678
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,70,6.17897963275318,0.8829397271573544,0.3899306748062372,0.9564113095634118,1.6929977742525248,42.1713134098053,1000.0,0.3528668492613774,1.0,10217,291,6,102,0.6290290562255396,0.0,4.149734670994315,0.0,0.7454267419301547,0.0,0.6290290562255396,0.0,141.9834970327524,0.0,1.7999706635108361,14.897402340173722,6392.49714432081,0.0,141.9834970327524,0.0,4.149734670994315,1.1783842583941628,0.7454267419301547,0.6290290562255396,4.614463653564453,207.75615719042634
