algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,83,6.387001182032566,0.8837796447674433,0.3876623403032621,0.879798515324481,1.5970202684402466,557.7724795341492,1000.0,0.5467952931274696,1.0,30312,480,82,128,135.36265665690104,0.0,0.7911148150761922,0.0,2.3601571321487427,165.34189513146876,0.600543083224638,0.0,0.600543083224638,0.0,135.36265665690104,0.0,4.764337252744983,0.0,6757.898582165358,0.0,4.764337252744983,1.1686049516660437,0.7911148150761922,0.600543083224638,6.768132832845052,337.89492910826783
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,84,6.387001182032566,0.8837019783258439,0.3879547506570816,0.8872299199688076,1.3521377955164229,578.5891079425812,1000.0,0.7753311924447716,1.0,30632,666,29,181,135.90134865897042,0.0,0.7516863346099854,0.0,1.1501719185284205,14.793939969837666,0.602419535076344,0.0,0.602419535076344,0.0,135.90134865897042,0.0,4.802812452894754,0.0,7108.592606964767,0.0,4.802812452894754,1.1709522092357523,0.7516863346099854,0.602419535076344,6.3420629374186195,331.73432165835567
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,85,6.420866890179302,0.8810893107950687,910.4556752963861,0.9176476339250048,1.5699135040243466,581.0209430932998,1000.0,0.35555097377402795,0.997979797979798,29985,303,165,45,135.42180887858072,0.0,0.7776620239019394,0.0,821.1741931637129,2999.952346787453,0.6002290721471661,0.0,0.6002290721471661,0.0,135.42180887858072,0.0,4.837389052653497,0.0,6980.666465098701,0.0,4.837389052653497,1.167662077617114,0.7776620239019394,0.6002290721471661,5.416872355143229,279.226658603948
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,86,6.4358601362814625,0.8810766430695852,94.4655736669898,0.8762261284654369,1.664756173437292,833.9869348573685,1000.0,0.596334569452849,1.0,30201,346,98,109,135.81391629305753,0.0,0.7485079656947743,0.0,3.111966767094352,2368.440753801167,0.6019722225894446,0.0,0.6019722225894446,0.0,135.81391629305753,0.0,4.861765188027373,0.0,6668.05462476552,0.0,4.861765188027373,1.1743696611241725,0.7485079656947743,0.6019722225894446,4.97984359741211,244.4953362414024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,87,6.855552657268869,0.8813506444791953,36.60606685022513,0.920637011528852,1.2019505229863254,1075.62281747818,1000.0,0.7859399766700389,1.0,30330,389,58,149,137.66331898082387,0.0,0.7178425626321272,0.0,0.9301592653447931,227.766232214272,0.6100986738661196,0.0,0.6100986738661196,0.0,137.66331898082387,0.0,4.904690941895884,0.0,7249.351604998278,0.0,4.904690941895884,1.1528858471237107,0.7178425626321272,0.6100986738661196,5.047655029296875,265.8095588499369
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,88,6.855552657268869,0.8814663110673427,34.836927654147146,0.9358580520205795,1.710715615749359,1093.5630246353148,1000.0,0.5304377603962858,1.0,30053,270,136,71,135.2835693359375,0.0,0.756425678730011,0.0,1.980095374584198,3350.9084625911714,0.6002290721471661,0.0,0.6002290721471661,0.0,135.2835693359375,0.0,4.927194137694246,0.0,7071.63394009304,0.0,4.927194137694246,1.1565310042053667,0.756425678730011,0.6002290721471661,4.509452311197917,235.72113133643467
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,89,6.855552657268869,0.8818819802006086,20.89088004261255,0.9060006576372879,1.397622218498817,1428.9570575666428,1000.0,0.7107936430533771,1.0,30454,463,21,188,135.29766845703125,0.0,0.7344214962078974,0.0,1.4037565955748925,13.394881306290626,0.6002290721471661,0.0,0.6002290721471661,0.0,135.29766845703125,0.0,4.970850587564212,0.0,7410.766259005022,0.0,4.970850587564212,1.142410309875761,0.7344214962078974,0.6002290721471661,5.862898966471354,321.1332045568844
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,90,6.993128179285125,0.8818309779961904,13.680142690837384,0.8626166889362293,1.5131258809048196,1436.2160801839827,1000.0,0.53834972483842,1.0,30625,891,55,165,135.51773801057234,0.0,0.7340310060459635,0.0,1.155892701252647,620.8771635282039,0.6002290721471659,0.0,0.6002290721471659,0.0,135.51773801057234,0.0,5.042510664910633,0.0,7159.513339606321,0.0,5.042510664910633,1.1197102795354745,0.7340310060459635,0.6002290721471659,10.389693247477213,548.8960227031513
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,91,6.993128179285125,0.8822069770097732,6.996123611330986,0.7929503368208421,1.5283422827720643,1496.9044946980475,1000.0,0.42793488181789574,1.0,29963,240,166,41,135.40508880615235,0.0,0.7509062588214874,0.0,2.8794014692306518,3150.643073991537,0.6002290721471661,0.0,0.6002290721471661,0.0,135.40508880615235,0.0,5.069451415271757,0.0,7118.865865982305,0.0,5.069451415271757,1.116036571954674,0.7509062588214874,0.6002290721471661,4.513502960205078,237.29552886607684
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,6.993128179285125,0.8819636439283689,8.431558845639229,0.825963004865633,1.5200371630489826,1810.763146481514,1000.0,0.3816860512430178,1.0,30220,391,64,149,136.03031539916992,0.0,0.7255186978727579,0.0,1.69343052059412,34.110842950344086,0.6022795279787401,0.0,0.6022795279787401,0.0,136.03031539916992,0.0,5.101808607761156,0.0,7237.089898855591,0.0,5.101808607761156,1.1202491572657707,0.7255186978727579,0.6022795279787401,7.254950154622396,385.97812793896486
