algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,48,4.7464023579153265,0.7863444803655147,0.6036968879401684,nan,1.1444347966462374,4.2001018679142,1000.0,0.0,nan,0,10418,0,110,0.8568946538163325,0.9868631925585849,0.6151944845914841,0.4051556560397148,2.6552689810242276,4.126642275120436,5803.424022344822,521.0483642605243,0.8568946538163325,0.9868631925585849,193.4151611328125,222.57550720214843,193.4151611328125,222.57550720214843,0.5954388584941626,2.9788495075702666,2.949543639843469,1.0881524544230983,0.43412652894340714,0.9689364975596535,50.70438659667969,289.9192415671392
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,49,5.021730474964191,0.7868142299354076,0.6022960646450519,nan,1.1461891802027822,3.7908608001470565,1000.0,0.0,nan,0,10621,0,111,0.8415096284234332,1.0022302165274508,0.626390184275806,0.3640433614328504,2.668414071841272,4.146385074869578,5637.211467356431,518.7737139158304,0.8415096284234332,1.0022302165274508,189.9570598602295,225.98944412231447,189.9570598602295,225.98944412231447,0.7909835666650906,0.6441461933217942,2.9640082724469337,1.0966040934189625,0.4002291301008442,0.9800618595475865,51.27651473999023,284.1455097385719
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,50,5.074807043784342,0.7871717309951782,0.601165769547224,0.9159418950996896,0.9650399770055499,2.1824287497997283,1000.0,0.4895453946309277,1.0,10579,728,0,115,0.8576686849601588,0.0,0.585943395892779,0.0,2.708118414515953,0.0,5676.162624946478,0.0,0.8576686849601588,0.0,193.4425811767578,0.0,193.4425811767578,0.0,0.4390286249773843,3.7353202784061432,2.708118414515953,1.0299453839128871,0.585943395892779,0.8576686849601588,10.155735511779785,297.9985378096901
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.7875647301971912,0.5998851577937603,0.8907067101726476,1.1018943032797646,2.1630555415153503,1000.0,0.482897742777046,1.0,10384,476,0,112,0.8414143787003858,0.0,0.5988000438493841,0.0,2.7360474874637783,0.0,5754.142042641342,0.0,0.8414143787003858,0.0,189.81453031652114,0.0,189.81453031652114,0.0,0.8813782579758588,3.7798592805862428,2.7360474874637783,1.0310323783569595,0.5988000438493841,0.8414143787003858,8.067117538452148,244.55103681225708
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.7879399798810482,0.5988428474962711,0.868364181407053,1.0712180540842169,2.1550164997577665,1000.0,0.33026897666087307,1.0,10184,298,0,114,0.8113001857002983,0.0,0.6365002902115092,0.0,2.772584729484631,0.0,5473.97230487941,0.0,0.8113001857002983,0.0,183.08850187413833,0.0,183.08850187413833,0.0,0.4214242731823641,2.0996571362018583,2.772584729484631,1.0306927383812314,0.6365002902115092,0.8113001857002983,7.781261329650879,232.64382295737494
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.7884074790775776,0.5976096239686012,0.8807672849948216,0.9030516793330511,2.144540001153946,1000.0,0.6669543288918763,1.0,10588,704,0,114,0.8431916218817538,0.0,0.5685716536309984,0.0,2.8040087245453402,0.0,5839.329232214234,0.0,0.8431916218817538,0.0,190.0008299085829,0.0,190.0008299085829,0.0,0.5230339078439606,8.423040628433228,2.8040087245453402,1.0315362911878592,0.5685716536309984,0.8431916218817538,8.550037345886231,262.76981544964053
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.7888414791226387,0.5966773000359535,0.9083821177172989,0.9939098851038859,2.1880493009090425,1000.0,0.4499817417873829,1.0,10701,943,0,122,0.8721737829860261,0.0,0.5033438033782519,0.0,2.8231587201823243,0.0,6018.425504033192,0.0,0.8721737829860261,0.0,196.98509509746845,0.0,196.98509509746845,0.0,0.43299233798797315,6.306055958271027,2.8231587201823243,1.03533940614145,0.5033438033782519,0.8721737829860261,12.80403118133545,391.1976577621574
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.788834230452776,0.596120558232069,0.8987750952186496,1.0412965397040048,2.140977236032486,1000.0,0.32889140250430576,1.0,10027,249,65,47,0.8187256297753064,0.0,0.5809413313865661,0.0,2.8406556960581475,0.0,5617.858753703601,0.0,0.8187256297753064,0.0,184.49770914713542,0.0,184.49770914713542,0.0,0.4049684147040049,3.504549045562744,2.8406556960581475,1.0412870481347007,0.5809413313865661,0.8187256297753064,6.918664093017578,210.66970326388505
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,56,5.230932639938371,0.7897032305598259,0.5941592712700366,0.9281831810205711,0.7302495849629244,2.937387856245041,1000.0,0.36480811261513013,1.0,10111,193,15,93,0.825719522876292,0.0,0.5586692492167155,0.0,2.863720702926811,0.0,5686.289594746377,0.0,0.825719522876292,0.0,186.3288942972819,0.0,186.3288942972819,0.0,0.34985943262775737,0.9697204619646073,2.863720702926811,1.0389166123963824,0.5586692492167155,0.825719522876292,5.589866828918457,170.5886878423913
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,57,5.2606088041605705,0.7896512293815613,0.5939158317446709,0.9358719767476587,0.7791050098836422,3.047162309885025,1000.0,0.28345616913346605,1.0,10419,678,0,121,0.7589028997321321,0.0,0.6727846771478653,0.0,2.9584302077934717,0.0,5572.769418975063,0.0,0.7589028997321321,0.0,171.19817749023437,0.0,171.19817749023437,0.0,0.23496187835931778,2.7896257781982423,2.9584302077934717,1.023450691069976,0.6727846771478653,0.7589028997321321,10.699886093139648,348.2980886859414
