algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,10,2.457972418137803,0.8377697795629502,0.725009457230568,0.0,0.7624817375213869,0.0,1000.0,0.0,0.0,0.9437039478150872,0.0,212.8576453424269,0.0,0.9570458416015871,0.0,9.146410603677072,0.0,0.9351342132663135,0.0,0.9437039478150872,0.0,212.8576453424269,0.0,2300.1615835752846,0.0,0.9351342132663135,1.0692743449643507,0.9570458416015871,0.9437039478150872,13.19717401123047,142.61001818166764
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,11,2.4814778819242695,0.8431559804677963,0.6834594266414642,0.0,0.8229951878388723,0.0,1000.0,0.0,0.0,0.941896637198223,0.0,212.4514928181966,0.0,0.948581439256668,0.0,9.647357336680095,0.0,1.0106309391728798,0.0,0.941896637198223,0.0,212.4514928181966,0.0,2511.9798208540738,0.0,1.0106309391728798,1.0886113283900833,0.948581439256668,0.941896637198223,12.747089569091797,150.71878925124446
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,12,2.49708883462414,0.8473915796279907,0.6492494056224823,0.0,0.8210827430089315,0.0,1000.0,0.0,0.0,0.9510045728438273,0.0,214.51720072428387,0.0,0.9277453382809957,0.0,11.252858114242553,0.0,1.0821062719505026,0.0,0.9510045728438273,0.0,214.51720072428387,0.0,2774.4892789040996,0.0,1.0821062719505026,1.1030050892922805,0.9277453382809957,0.9510045728438273,12.871032043457031,166.469356734246
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,13,2.540155838066071,0.8509217785596848,0.6206441181898117,0.0,0.8248473052625303,0.0,1000.0,0.0,0.0,0.9525047537723603,0.0,214.98213252314815,0.0,0.9152605511524059,0.0,8.403702011814824,0.0,1.1345728746642676,0.0,0.9525047537723603,0.0,214.98213252314815,0.0,2975.3357667400674,0.0,1.1345728746642676,1.1119480584075059,0.9152605511524059,0.9525047537723603,11.60903515625,160.66813140396363
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,14,2.540155838066071,0.8543049795627594,0.5961561690568924,0.0,0.7872334503465228,0.0,1000.0,0.0,0.0,0.9091119016123592,0.0,205.173952738444,0.0,0.9542723993460337,0.0,4.929370615217421,0.0,1.1918942071774499,0.0,0.9091119016123592,0.0,205.173952738444,0.0,3072.8305188703657,0.0,1.1918942071774499,1.118444348028684,0.9542723993460337,0.9091119016123592,7.3862622985839845,110.62189867933317
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,15,2.559692512621851,0.8569923762083054,0.5753782089948655,0.0,0.8992340227831965,0.0,1000.0,0.0,0.0,0.9266221606534966,0.0,209.00629723590353,0.0,0.9234186436818994,0.0,8.125328934710959,0.0,1.241634462505428,0.0,0.9266221606534966,0.0,209.00629723590353,0.0,3312.1598970980563,0.0,1.241634462505428,1.1244225933623802,0.9234186436818994,0.9266221606534966,9.614289672851562,152.3593552665106
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,16,2.607204152724341,0.8594303785562515,0.5573032696247101,0.0,1.040317381421725,0.0,1000.0,0.0,0.0,0.9252272675572094,0.0,208.56520144144693,0.0,0.9142357433835665,0.0,13.132381101449331,0.0,1.2755232124682467,0.0,0.9252272675572094,0.0,208.56520144144693,0.0,3506.0088496669673,0.0,1.2755232124682467,1.1323004200409967,0.9142357433835665,0.9252272675572094,10.011129669189453,168.28842478401444
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,17,2.626898729085254,0.8615031772851944,0.5415872448682785,0.0,0.7990489493716847,0.0,1000.0,0.0,0.0,0.9235378771635431,0.0,208.24737271395597,0.0,0.9053260738199408,0.0,6.087662577629089,0.0,1.330298024439128,0.0,0.9235378771635431,0.0,208.24737271395597,0.0,3705.627390147628,0.0,1.330298024439128,1.1347946555606236,0.9053260738199408,0.9235378771635431,9.162884399414063,163.04760516649566
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,18,2.710782484272716,0.8634627779722214,0.5277761993408203,0.0,0.9063462433607682,0.0,1000.0,0.0,0.0,0.9320876317834043,0.0,210.15609343155572,0.0,0.8840885032778201,0.0,8.740293710128121,0.0,1.3770201697438222,0.0,0.9320876317834043,0.0,210.15609343155572,0.0,3908.960589349451,0.0,1.3770201697438222,1.1375942648775832,0.8840885032778201,0.9320876317834043,9.667180297851562,179.81218711007475
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,19,2.8127388645364944,0.8651187782287597,0.5155666843652725,0.0,0.8998265943743966,0.0,1000.0,0.0,0.0,0.8942734250424337,0.0,201.67757068980825,0.0,0.9186002205718647,0.0,9.07947757027366,0.0,1.4341344002262895,0.0,0.8942734250424337,0.0,201.67757068980825,0.0,3922.140915222891,0.0,1.4341344002262895,1.138058702104118,0.9186002205718647,0.8942734250424337,8.873813110351563,172.5742002698072
