algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,2.3860538467214347,0.8810913097858429,0.40130671272675195,nan,2.0150143666700884,6.32104029417038,1000.0,0.0,nan,0,30481,0,207,288.5951038707386,349.16685302734373,288.5951038707386,349.16685302734373,1.2781685729974106,1.5476596400084488,1.425513958229285,2.307630081290947,9671.535671582275,551.2707972115841,0.7661903067068621,0.5060519354790449,4.829767660661177,15.117743265628814,1.2781685729974106,1.5476596400084488,1.7783604074539503,0.5797565621866566,0.5196136515146184,1.5336103426761198,146.01583349609376,433.2821036594437
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,1.8613931326108795,0.880967313448588,0.4008993515372276,0.8574733959783974,1.7687680763857705,6.414746923446655,1000.0,0.6775750063083443,1.0,30340,466,71,139,280.3132553100586,0.0,280.3132553100586,0.0,1.2427325415260158,0.0,1.4409260693959494,0.0,9893.104889071996,0.0,0.7967923155852726,0.0,0.9316356096948896,15.007827587723732,1.2427325415260158,0.0,1.4409260693959494,0.4865942810249275,0.7967923155852726,1.2427325415260158,13.081285247802734,461.67822815669314
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,1.8613931326108795,0.8811876442035039,0.3999530260761579,0.9722616610845198,1.751696765422821,8.036930434703827,1000.0,0.6022846787076006,1.0,30327,381,57,149,278.32770746404475,0.0,278.32770746404475,0.0,1.2337008018048934,0.0,1.449345194202889,0.0,10264.745878408716,0.0,0.8019480325958945,0.0,2.227344599637118,12.730026599168777,1.2337008018048934,0.0,1.449345194202889,0.48069694381412764,0.8019480325958945,1.2337008018048934,10.205349273681641,376.37401554165297
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,1.8613931326108795,0.8812476450204849,0.3993696733315786,0.8971358873144639,1.8480023329074566,9.334309313297272,1000.0,0.5841166002164765,1.0,30341,430,59,150,272.49010291466345,0.0,272.49010291466345,0.0,1.207350889015171,0.0,1.4639382251802295,0.0,9567.62284437168,0.0,0.8240138704960163,0.0,1.4681901244016795,18.42779954791069,1.207350889015171,0.0,1.4639382251802295,0.4677089310520584,0.8240138704960163,1.207350889015171,11.807904459635417,414.5969899227727
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,1.8613931326108795,0.881396311322848,0.39841387977202736,0.8978694722129058,1.3986192395289738,10.648072426319123,1000.0,0.6851267244874255,1.0,30241,458,114,93,282.69615173339844,0.0,282.69615173339844,0.0,1.2551813944885764,0.0,1.4712119863373474,0.0,11086.724920761093,0.0,0.7737526843945185,0.0,0.8288001418113708,30.29003806143999,1.2551813944885764,0.0,1.4712119863373474,0.4608281540402213,0.7737526843945185,1.2551813944885764,11.307846069335938,443.4689968304438
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,1.8613931326108795,0.8813679780562719,0.3981451384226481,0.9066271951194274,1.8530829128097086,13.6741068816185,1000.0,0.5472425539425069,1.0,30490,590,38,176,284.23985021254595,0.0,284.23985021254595,0.0,1.2600095862100678,0.0,1.4742956010691668,0.0,10815.219802819785,0.0,0.7653373532435473,0.0,2.0929139501908245,14.003821322917938,1.2600095862100678,0.0,1.4742956010691668,0.46157487049432855,0.7653373532435473,1.2600095862100678,16.106924845377605,612.8624554931212
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,1.8614399906852317,0.8814866427580516,0.39748986889918647,0.9350743765580631,1.7652775874504676,14.246871049404144,1000.0,0.6099313404354538,1.0,30212,390,102,108,280.51885399451623,0.0,280.51885399451623,0.0,1.2449597883485681,0.0,1.4771818149675808,0.0,10482.427873757948,0.0,0.7764191604577578,0.0,2.126586703153757,28.918564653396608,1.2449597883485681,0.0,1.4771818149675808,0.4621652412175716,0.7764191604577578,1.2449597883485681,12.155817006429036,454.2385411961777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,1.8737271363405117,0.88174797753493,0.39644540429115294,0.9452103906874797,1.3465359032154083,16.9392812871933,1000.0,0.6283846467314025,1.0,30107,253,101,105,277.44769897460935,0.0,277.44769897460935,0.0,1.228878281837304,0.0,1.4852030128424043,0.0,11409.067442836973,0.0,0.7885957419872284,0.0,1.2697094082832336,30.835857144594193,1.228878281837304,0.0,1.4852030128424043,0.45500297475675355,0.7885957419872284,1.228878281837304,9.24825663248698,380.30224809456575
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,1.8837960236518565,0.8818446463346481,0.39582685818274815,0.8459826242307452,1.4712817549705506,21.105473325252532,1000.0,0.34848472625342214,1.0,30278,560,78,140,263.13052520751955,0.0,263.13052520751955,0.0,1.166516427894971,0.0,1.5150690083319645,0.0,10944.233149206431,0.0,0.8466158747673035,0.0,0.7605988949537277,18.273030645549298,1.166516427894971,0.0,1.5150690083319645,0.4245956102324989,0.8466158747673035,1.166516427894971,17.542035013834635,729.6155432804288
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,1.8862078189611433,0.8819103121757508,0.3953806459903717,0.9023953653682456,1.5581286177039146,23.89442753791809,1000.0,0.48179312583423717,1.0,30617,939,68,152,277.3059260050456,0.0,277.3059260050456,0.0,1.2292868054188955,0.0,1.53451156522134,0.0,11449.427718330064,0.0,0.7809003293514252,0.0,0.8816889400283495,22.720976541638375,1.2292868054188955,0.0,1.53451156522134,0.40836178701318304,0.7809003293514252,1.2292868054188955,22.184474080403646,915.954217466405
