algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,80,5.883317029997062,0.7938189780712128,0.5866087949275971,0.8660379582906581,1.1020870529688322,82.43011922756831,1000.0,0.7774040328344778,1.0,50281,612,205,106,0.31393677454728347,119.85640946706135,148.7961660531851,0.0,5076.461531648889,0.0,0.6598991411550793,0.0,0.5476237948124225,0.0,3.9853509529561713,0.0,148.7961660531851,0.0,0.6598991411550793,0.0,3.9853509529561713,1.1343059459032427,0.5476237948124225,0.6598991411550793,9.671750793457031,329.9699995571778
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,81,5.883317029997062,0.7938564810156822,0.5865246403217316,0.9501366165767002,0.6884396858513355,94.39935606400172,1000.0,0.9084390353794431,1.0,50190,360,168,138,0.26681242883205414,115.87625662177801,162.57149505615234,0.0,5293.835181287555,0.0,0.7213401440643117,0.0,0.37849372904747725,0.0,4.00840185761838,0.0,162.57149505615234,0.0,0.7213401440643117,0.0,4.00840185761838,1.13459070215645,0.37849372904747725,0.7213401440643117,6.5028598022460935,211.7534072515022
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,82,5.883317029997062,0.7942679810523987,0.5857669463753701,0.9529675638371291,1.0297889212767284,105.22200318892797,1000.0,0.9115504995786686,1.0,49704,85,287,12,1.5144892930984497,147.79914678255716,148.93084208170572,0.0,5043.045944053684,0.0,0.6618520607860212,0.0,0.5018468201160431,0.0,4.018990214345862,0.0,148.93084208170572,0.0,0.6618520607860212,0.0,4.018990214345862,1.1409640034993644,0.5018468201160431,0.6618520607860212,2.233962631225586,75.64568916080526
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,83,5.883317029997062,0.7941459798812867,0.5866741761565208,0.9164114194270114,1.417505919933319,120.90256354490916,1000.0,0.8507456418098543,1.0,50199,424,181,126,0.9945042729377747,243.44689165274303,146.03329162597657,0.0,5155.701327607041,0.0,0.6472399707254363,0.0,0.55844064950943,0.0,4.081057677673738,0.0,146.03329162597657,0.0,0.6472399707254363,0.0,4.081057677673738,1.1418320037893728,0.55844064950943,0.6472399707254363,7.301664581298828,257.7850663803521
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,84,5.883317029997062,0.794251481294632,0.5862284788489341,0.9611545218826212,1.1288974114826746,139.97826743761698,1000.0,0.9270279993080066,1.0,50190,376,180,124,1.8909991979599,209.61097235818704,144.65099007742745,0.0,5426.331951092167,0.0,0.6400949646037011,0.0,0.5554455901895251,0.0,4.119202691867881,0.0,144.65099007742745,0.0,0.6400949646037011,0.0,4.119202691867881,1.1449630654240412,0.5554455901895251,0.6400949646037011,5.062784652709961,189.9216182882259
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,85,6.069580281006019,0.7910604797303676,8.906577265262603,0.9173244384196542,1.2327877059578896,156.53558276971182,1000.0,0.870513898020272,0.9987373737373737,50224,487,213,92,72.93418411165476,396.98027530451617,152.9509162902832,0.0,5365.3777671771395,0.0,0.6780523949146017,0.0,0.4471207521855831,0.0,4.150718397864535,0.0,152.9509162902832,0.0,0.6780523949146017,0.0,4.150718397864535,1.1442233603057625,0.4471207521855831,0.6780523949146017,6.1180366516113285,214.61511068708558
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,86,6.069580281006019,0.7917784798145294,0.7273240327835083,0.8835972540045767,1.2833886861801147,188.646208310922,1000.0,0.7959706959706959,1.0,49742,112,276,26,0.8944021701812744,928.2062403305372,140.5330078125,0.0,5279.46929153754,0.0,0.6231091489763643,0.0,0.6144603610038757,0.0,4.17739678576696,0.0,140.5330078125,0.0,0.6231091489763643,0.0,4.17739678576696,1.1544459755980305,0.6144603610038757,0.6231091489763643,3.5133251953125,131.98673228843847
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,87,6.069580281006019,0.7926929800212383,0.6339994257688523,0.900257110362451,0.993181623518467,272.9539639584223,1000.0,0.8361322924231421,1.0,49936,217,230,73,0.509222482641538,538.4577282389998,143.98655700683594,0.0,5754.411541269027,0.0,0.6394460472925215,0.0,0.5216753780841827,0.0,4.2046689330757365,0.0,143.98655700683594,0.0,0.6394460472925215,0.0,4.2046689330757365,1.1547986895673545,0.5216753780841827,0.6394460472925215,4.3195967102050785,172.63234623807082
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,88,6.069580281006019,0.7937144809961318,0.5971193918585778,0.8580238672190145,0.4790181279182434,312.56397617499033,1000.0,0.8074603174603174,1.0,49848,175,256,45,0.2713469475507736,1109.1573683458566,162.02977294921874,0.0,5763.828939855163,0.0,0.7181985424203969,0.0,0.2684953449293971,0.0,4.217948324565807,0.0,162.02977294921874,0.0,0.7181985424203969,0.0,4.217948324565807,1.1557665991731683,0.2684953449293971,0.7181985424203969,4.050744323730469,144.0957234963791
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,89,6.069580281006019,0.7932079803943634,0.6063405409455299,0.8872074824060113,1.258491039276123,401.31749542236327,1000.0,0.8193437504616864,1.0,50152,412,204,102,0.5036963191297319,382.38914096554123,145.75711398654514,0.0,5509.616248002681,0.0,0.6458578772673373,0.0,0.45879731410079533,0.0,4.26960050787423,0.0,145.75711398654514,0.0,0.6458578772673373,0.0,4.26960050787423,1.1487399083703875,0.45879731410079533,0.6458578772673373,6.559070129394531,247.93273116012068
