algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,1.3008539173944398,0.8762113112211227,0.4302016723155975,nan,1.9410212454588518,11.86219440460205,1000.0,0.0,nan,0,32136,0,220,1.5973565889441448,14.363572716712952,9704.959716166823,429.0882989750725,1.5542228046854611,1.6645726599867612,350.82789412788725,375.47423065185546,0.7868880085323168,0.7007570289075374,350.82789412788725,375.47423065185546,1.5542228046854611,1.6645726599867612,0.7097192859314767,1.237683773084439,0.9209050807926616,0.37718124334301684,0.7096404931737703,1.6531912847763135,166.327775390625,618.0634665337029
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,1.3163466803969022,0.8768053102493286,0.4271435996890068,nan,1.8322946627934773,11.780031661987305,1000.0,0.0,nan,0,30565,0,209,1.7262171010176341,80.6890328669548,9942.885607676088,429.90828525649835,1.5171512844542632,1.6628786261748096,341.97933197021484,375.0479653930664,0.8039221366246542,0.6890349468588829,341.97933197021484,375.0479653930664,1.5171512844542632,1.6628786261748096,0.7208512955104162,1.2517745778801532,0.9332206084583108,0.377641650732951,0.6955379953361908,1.6546299087189298,158.22669012451172,410.5925686868255
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,1.3292015375444424,0.8772873121500016,0.42414513995250064,nan,1.3897113998730977,11.41750037908554,1000.0,0.0,nan,0,30724,0,206,1.2852151145537694,41.76550947606564,10577.218853422433,421.036485028205,1.480026284177255,1.6807454217502482,333.5047124226888,379.2565757751465,0.8214637736479441,0.6616323047876358,333.5047124226888,379.2565757751465,1.480026284177255,1.6807454217502482,0.7351425243279347,1.2649100163011304,0.9470495211172131,0.3757560745040395,0.6706793690627476,1.6693839611329087,159.70674340820312,422.2678464934204
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,1.3447570852430961,0.8776186448335648,0.42187930663426715,nan,1.8531837192448704,11.417119159698487,1000.0,0.0,nan,0,30061,0,207,1.1244202093644575,96.44802927017211,10048.422857982785,422.3675018295608,1.488855558345915,1.6712282162644663,335.7292397238991,377.1808937072754,0.8025179288604043,0.6558361457288265,335.7292397238991,377.1808937072754,1.488855558345915,1.6712282162644663,0.7495756354801694,1.2780992180740194,0.9609850685177094,0.3734199662977172,0.6634830633328425,1.6617206369416986,158.25840075683593,390.0123036074456
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,1.3601850763408232,0.877597310145696,0.42062874833742775,nan,1.8796383415659268,11.156653153896332,1000.0,0.0,nan,0,31182,0,220,1.5448447267214458,24.652805646657942,10729.796635275578,413.87130606825815,1.5630777456496407,1.6795249521302082,352.8817481994629,378.7435589599609,0.7301863891383013,0.6355869694054127,352.8817481994629,378.7435589599609,1.5630777456496407,1.6795249521302082,0.7592136575893148,1.2905347167149908,0.971742081239585,0.37501477817513684,0.6457226215196508,1.667048465721576,168.4357474975586,680.578760920531
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,1.3744246654634606,0.8780199770132701,0.41812567869822187,nan,1.7348187199005713,11.138819694519043,1000.0,0.0,nan,0,30449,0,209,1.4161763374622052,43.35105971336365,9883.257758707576,418.0356044101094,1.4109731039133726,1.6700300422054573,317.97088623046875,376.6215653991699,0.842233236019428,0.629665390253067,317.97088623046875,376.6215653991699,1.4109731039133726,1.6700300422054573,0.7712260415694568,1.302992108942965,0.9839324685188601,0.37443231570905416,0.6426390146425632,1.6542190553613398,158.91586920166014,424.1789434904408
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,1.3955437385520617,0.8781973101695378,0.4163856276869774,nan,2.0466958204905192,11.082940225601197,1000.0,0.0,nan,0,30855,0,211,2.84744580189387,27.47332633078098,10423.167810769857,409.5922797093654,1.4394101455912371,1.6627886205457878,324.3389017740885,375.07605178833006,0.807029108206431,0.621894927173853,324.3389017740885,375.07605178833006,1.4394101455912371,1.6627886205457878,0.7837965656369043,1.315338401188212,0.9964132998574273,0.37374704783947854,0.6348112653854281,1.6472040757815167,159.7605877685547,476.53194620684184
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,1.4186516104026525,0.8780286457141241,0.41612465073664984,nan,2.4623867636141568,11.069586915969849,1000.0,0.0,nan,0,31206,0,220,3.255197794541069,33.636412253379824,10266.62370728557,406.436427105598,1.4386580626439613,1.6522643818435216,324.50080407184106,372.7000389099121,0.7956691358400427,0.6168548020720482,324.50080407184106,372.7000389099121,1.4386580626439613,1.6522643818435216,0.7933675373085006,1.327740160479433,1.0071165865768734,0.3768795313378892,0.6352975360481193,1.6302332368139705,164.00705255126954,634.8392613773754
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,1.4400329287254277,0.8784526447455089,0.4139934441447258,nan,1.7035962641239166,10.829899938106538,1000.0,0.0,nan,0,31106,0,210,2.5710887483188083,15.349504888653755,10526.57036225111,405.55754457241784,1.4079085099562583,1.6562614489306122,317.04808480399,373.72169174194335,0.8095652077879224,0.599574304819107,317.04808480399,373.72169174194335,1.4079085099562583,1.6562614489306122,0.8082008440205141,1.3399289985250624,1.0208921058223333,0.37540467135606853,0.6133120274432352,1.6400140603995796,158.36602307128905,456.9669879719982
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,1.456087527357997,0.8783799773454666,0.4131621941924095,nan,2.0935804578993054,10.634267525672913,1000.0,0.0,nan,0,31008,0,216,1.3612451155980427,31.860294184684754,9741.54466804535,403.9064051344713,1.4009413890285514,1.6567220772427502,315.5653262668186,373.78165130615236,0.8035512831475999,0.5851064012944698,315.5653262668186,373.78165130615236,1.4009413890285514,1.6567220772427502,0.8283511155484443,1.3517924392254195,1.0377276450192343,0.3716522605053403,0.6031431346584898,1.6356025708764401,160.87301226806642,512.258170103421
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,1.4678135124435183,0.8784643095731736,0.41204221536715824,nan,1.9079712794886694,10.333133263587952,1000.0,0.0,nan,0,31099,0,213,0.9624010986751981,37.5592988461256,10543.315378339657,405.9263331883101,1.410316452109596,1.6632403366909982,317.8759358723958,375.25580184936524,0.7834397024578519,0.5652637350559234,317.8759358723958,375.25580184936524,1.410316452109596,1.6632403366909982,0.8474248299341395,1.3633834343719407,1.0538082717092598,0.3671373270758554,0.5832782644744313,1.6423567131934511,161.54585443115235,541.9298868955517
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,1.488121351907745,0.8783029782772064,0.41166449765364327,nan,2.2726783894357228,10.039122593402862,1000.0,0.0,nan,0,31568,0,218,2.3771644773937406,14.253917129039765,10638.170703591351,404.55295023715155,1.425766525669412,1.6686440747067743,322.00685628255206,376.34478057861327,0.7577516578492665,0.5461362024396658,322.00685628255206,376.34478057861327,1.425766525669412,1.6686440747067743,0.8563353667975702,1.3749089137176589,1.0637647855656058,0.3700101257901816,0.5662444583835645,1.645565212581052,164.0622001953125,608.6243496456974
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,1.537414683794145,0.8786459781726201,0.41009735842545825,nan,2.298604970628565,9.910728306770325,1000.0,0.0,nan,0,30773,0,205,6.921353513544256,16.556869654655458,10805.42966233073,405.8693176446553,1.3618506041312035,1.6631434090923907,306.6774791370739,375.26782730102536,0.8015154925259677,0.5363654401898384,306.6774791370739,375.26782730102536,1.3618506041312035,1.6631434090923907,0.8678755847142592,1.3865831504023132,1.0753586109894808,0.3704381237103715,0.5501884287002528,1.6474362012508121,156.85403546142578,400.0671796291382
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,1.5940012606091747,0.8782643087704977,0.4104861093560855,nan,2.534024690880495,9.67257181406021,1000.0,0.0,nan,0,31543,0,213,2.144005298614502,7.670226167440415,9489.370201891585,405.0560582049655,1.368714233577042,1.6639689985327328,308.6936905804802,375.2421241760254,0.7833695411682129,0.5209218136966228,308.6936905804802,375.2421241760254,1.368714233577042,1.6639689985327328,0.8859697387079918,1.3983059038010333,1.0909042047452084,0.36930839580976044,0.5414822347427842,1.6408384409094763,160.59243515014649,484.6610101463001
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,1.5940012606091747,0.8785646438598633,0.408951807419459,nan,2.198162566531788,9.331380355358124,1000.0,0.0,nan,0,30389,0,207,3.224271991036155,30.38305084705353,11331.238685936953,406.2857999280415,1.4894884945289752,1.6704721074850983,335.9246798428622,376.7696591186523,0.6627087620171633,0.5002182152867317,335.9246798428622,376.7696591186523,1.4894884945289752,1.6704721074850983,0.8894387715640443,1.409820626580883,1.0975915135707797,0.3725141229894194,0.5086892864432945,1.6610369428286178,158.0982066040039,411.8015710618296
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,1.5940012606091747,0.8788029764095943,0.40785027186075845,nan,2.6257235895503652,9.193273277282715,1000.0,0.0,nan,0,30482,0,206,7.065865863453258,31.783173904418945,9863.134654323892,407.74384860731,1.3829575094395166,1.6643952834884745,312.26985584605825,375.49902267456054,0.7458755699071017,0.49065587908029556,312.26985584605825,375.49902267456054,1.3829575094395166,1.6643952834884745,0.8925668490937452,1.4212396598785886,1.1040359734076828,0.37689668917826485,0.5039611710191338,1.6497231720451644,157.0695458984375,380.08650183804974
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,1.7851488672589513,0.8785219792524973,0.40805971960226695,0.8574733959783974,2.3990541951996938,9.380376977920532,1000.0,0.6775750063083443,1.0,30344,462,67,143,1.4483129041535514,30.947942178845405,10093.704210516142,0.0,1.3275986400320074,0.0,299.4641810825893,0.0,0.783977712903704,0.0,299.4641810825893,0.0,1.3275986400320074,0.0,0.9126454356413755,0.0,0.9126454356413755,0.3559369483589279,0.783977712903704,1.3275986400320074,13.9749951171875,471.0395298240865
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,1.8041287660107996,0.8786526467402777,0.4074293526013692,0.9729722849107217,2.43020361661911,11.508976523876191,1000.0,0.6031667669164215,1.0,30327,380,57,150,3.656171538613059,27.118530502319334,10512.698006470127,0.0,1.2967894103250714,0.0,292.5618910356001,0.0,0.8002600073814392,0.0,292.5618910356001,0.0,1.2967894103250714,0.0,0.9263380394505046,0.0,0.9263380394505046,0.3593720954825281,0.8002600073814392,1.2967894103250714,10.727269337972006,385.46559357057134
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,1.8100158922121303,0.8785653092463811,0.407278377811114,0.8985219816583047,2.50941703411249,13.748037352561951,1000.0,0.5856451998219993,1.0,30328,443,72,137,2.1047701010337243,36.79871926784515,9505.936588798093,0.0,1.2635299091473253,0.0,285.1691190279447,0.0,0.8192820869959317,0.0,285.1691190279447,0.0,1.2635299091473253,0.0,0.9445837951295973,0.0,0.9445837951295973,0.36235109966649665,0.8192820869959317,1.2635299091473253,12.357328491210938,411.92391884791743
