algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,3.754052792860233,0.8799174779653549,0.4163169315457344,nan,0.8608316508206454,0.06281508777290583,1000.0,0.0,nan,0,10912,0,118,0.812452505071226,0.0,0.812452505071226,0.0,183.3521492697976,0.0,183.3521492697976,0.0,5778.09786582001,0.0,2.313031928600004,0.0,0.8354879265481775,0.0,0.15526848418680442,0.005592717285035178,2.313031928600004,1.0948689463674643,0.8354879265481775,0.812452505071226,10.084368209838868,317.7953826201005
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,3.827333565551222,0.8803624770045281,0.4137633663415909,nan,1.0258369041340691,0.0626021920517087,1000.0,0.0,nan,0,10512,0,110,0.8131405060313803,0.0,0.8131405060313803,0.0,183.37544141496932,0.0,183.37544141496932,0.0,5833.311768601603,0.0,2.360175651935567,0.0,0.822788342833519,0.0,0.19654535013251007,0.002086390110198408,2.360175651935567,1.0850858140157766,0.822788342833519,0.8131405060313803,6.418140449523926,204.1659119010561
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,3.905017676249213,0.8805009773373604,0.41195241212844846,nan,1.1503240605816245,0.06369109580293297,1000.0,0.0,nan,0,11911,0,129,0.8605059643932103,0.0,0.8605059643932103,0.0,194.2085099220276,0.0,194.2085099220276,0.0,6220.053288318786,0.0,2.3954408592989704,0.0,0.7416953891515732,0.0,0.26694031773877214,0.01688033000566065,2.3954408592989704,1.0920386222341325,0.7416953891515732,0.8605059643932103,15.536680793762207,497.6042630655029
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,39,4.038424205426209,0.8808447279036045,0.4096771749854088,nan,0.8914455622434616,0.06431623982265591,1000.0,0.0,nan,0,11076,0,118,0.8272525121972449,0.0,0.8272525121972449,0.0,186.41963272094728,0.0,186.41963272094728,0.0,5921.661866176405,0.0,2.4404068559265926,0.0,0.7781639277935029,0.0,0.13936275369487702,0.008692137813195586,2.4404068559265926,1.0874342948707068,0.7781639277935029,0.8272525121972449,9.320981636047364,296.0830933088202
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,40,4.070447429980684,0.8812089788913727,0.4077232627570629,nan,1.104901115099589,0.06304160119965672,1000.0,0.0,nan,0,11385,0,121,0.813774864670636,0.0,0.813774864670636,0.0,183.5553061167399,0.0,183.5553061167399,0.0,6037.677680538048,0.0,2.4883071892661017,0.0,0.7859905585646629,0.0,0.16360760984631875,0.012788331683259458,2.4883071892661017,1.0828785529464164,0.7859905585646629,0.813774864670636,11.013318367004395,362.2606608322829
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,41,4.158419322614949,0.8812857274711132,0.4064552399516106,nan,1.3649443586667378,0.06520514875650406,1000.0,0.0,nan,0,11696,0,128,0.7733844959926814,0.0,0.7733844959926814,0.0,174.44608408610026,0.0,174.44608408610026,0.0,5861.53650432873,0.0,2.5465142010452273,0.0,0.8346504867076874,0.0,0.5288624471053481,0.01719791621901095,2.5465142010452273,1.0935186114124238,0.8346504867076874,0.7733844959926814,13.083456306457519,439.61523782465474
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,42,4.256038273956277,0.8816764774918556,0.4043111111223698,nan,0.9655961464433109,0.06656556483358145,1000.0,0.0,nan,0,10790,0,114,0.76506393873738,0.0,0.76506393873738,0.0,172.7546817555147,0.0,172.7546817555147,0.0,5968.3165689265925,0.0,2.598242866111627,0.0,0.8356020976515377,0.0,0.3067273087114753,0.005271676887059584,2.598242866111627,1.086293056093505,0.8356020976515377,0.76506393873738,7.342073974609375,253.65345417938013
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,43,4.38956108535335,0.8817512266337871,0.4031549110263586,nan,1.1129041016101837,0.06364757010713219,1000.0,0.0,nan,0,11198,0,122,0.7684732565273451,0.0,0.7684732565273451,0.0,173.39950561523438,0.0,173.39950561523438,0.0,5807.511324415912,0.0,2.6523491676658,0.0,0.8186587047576904,0.0,0.16124388611875473,0.00908586942590773,2.6523491676658,1.0827782993573551,0.8186587047576904,0.7684732565273451,10.837469100952148,362.9694577759945
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,44,4.4765992932100716,0.8819549785554409,0.4018878202885389,nan,1.1730526122781966,0.06429317835718393,1000.0,0.0,nan,0,10969,0,123,0.7691047398321624,0.0,0.7691047398321624,0.0,173.5836498119213,0.0,173.5836498119213,0.0,5880.800146081757,0.0,2.7203574866233486,0.0,0.8058055186713183,0.0,0.1489881822425458,0.00531614986481145,2.7203574866233486,1.0742184012176115,0.8058055186713183,0.7691047398321624,11.716896362304688,396.95400986051857
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,45,4.510685383864888,0.8822027286887169,0.4005473618209362,nan,1.2907854557037353,0.06376538641750812,1000.0,0.0,nan,0,11696,0,122,0.7942911168349557,0.0,0.7942911168349557,0.0,179.37893371582032,0.0,179.37893371582032,0.0,5976.285395060696,0.0,2.7516643910626954,0.0,0.7543035626411438,0.0,0.23264395066536964,0.017844822527840733,2.7516643910626954,1.0852436249879023,0.7543035626411438,0.7942911168349557,11.21118335723877,373.5178371912935
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,46,4.987669627663853,0.882478477358818,0.39894115276634695,nan,1.30868412454923,0.06431154523044824,1000.0,0.0,nan,0,10712,0,110,0.7512019700586499,0.0,0.7512019700586499,0.0,169.66196899414064,0.0,169.66196899414064,0.0,6086.725720202679,0.0,2.7865844402290905,0.0,0.8100405017534892,0.0,0.678147484206905,0.004911161209456623,2.7865844402290905,1.0873531613137684,0.8100405017534892,0.7512019700586499,6.3623238372802735,228.2522145076005
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,47,4.987669627663853,0.882525726556778,0.3981711459159851,nan,1.3166596527610506,0.0649203334748745,1000.0,0.0,nan,0,12088,0,126,0.7776252415974246,0.0,0.7776252415974246,0.0,175.48100062779017,0.0,175.48100062779017,0.0,5906.703722964894,0.0,2.847181779702834,0.0,0.7558041289448738,0.0,0.29021380431368016,0.023546042162925006,2.847181779702834,1.0816612256141487,0.7558041289448738,0.7776252415974246,12.283670043945312,413.4692606075426
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,48,4.987669627663853,0.8826917271316052,0.39707530342042446,nan,1.369568906724453,0.06468006050214171,1000.0,0.0,nan,0,10416,0,112,0.774509849425105,0.0,0.774509849425105,0.0,174.83022594451904,0.0,174.83022594451904,0.0,6347.360353741264,0.0,2.869922740223584,0.0,0.7483344580978155,0.0,0.29662128759082407,0.002278676023706794,2.869922740223584,1.089019376256442,0.7483344580978155,0.774509849425105,6.993209037780762,253.89441414965054
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,49,4.987669627663853,0.8827859774231911,0.39609821133315565,nan,1.544290341436863,0.06462465608492493,1000.0,0.0,nan,0,10619,0,113,0.7414874011336106,0.0,0.7414874011336106,0.0,167.45408821105957,0.0,167.45408821105957,0.0,5929.178038907881,0.0,2.88498871764236,0.0,0.7896580882370472,0.0,0.7667821067516343,0.004486407798249274,2.88498871764236,1.1021256778383077,0.7896580882370472,0.7414874011336106,6.698163528442382,237.16712155631524
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,50,5.074807043784342,0.8781494764983654,0.4106287223100662,0.8961470038400455,1.3281544929458982,0.6439441102743149,1000.0,0.4810051792136318,0.9722243255260771,10468,836,111,7,0.7517700309610552,0.0,0.7517700309610552,0.0,169.54923139299666,0.0,169.54923139299666,0.0,6069.997172559502,0.0,2.93767263807191,0.0,0.7605407592796144,0.0,0.30057838488192784,1.2042102789878846,2.93767263807191,1.102557311311548,0.7605407592796144,0.7517700309610552,8.901334648132325,318.6748515593739
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8650924774818123,0.6343032498657704,0.8581610065735413,1.408969809027279,1.2267009758949279,1000.0,0.4681954633327215,0.9539314800844905,10275,584,109,4,0.7410160283000519,0.0,0.7410160283000519,0.0,167.22314273609834,0.0,167.22314273609834,0.0,6303.259436589538,0.0,2.9764927859522827,0.0,0.7659925327581518,0.0,0.604502475436996,0.68387153506279,2.9764927859522827,1.1064336926577372,0.7659925327581518,0.7410160283000519,7.10698356628418,267.8885260550553
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8801284763216972,0.4094130763411522,0.8649065880958264,1.2485261524424833,8.272170176506043,1000.0,0.32800956417033483,1.0,10140,346,44,66,0.7719995970295725,0.0,0.7719995970295725,0.0,174.05991408404182,0.0,174.05991408404182,0.0,5760.815595482605,0.0,3.0223746828328357,0.0,0.7026049670051125,0.0,0.3381323043037863,0.8024826633930207,3.0223746828328357,1.1122088749617058,0.7026049670051125,0.7719995970295725,7.397546348571777,244.83466280801073
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8796072273887694,1.5172451822459698,0.8793372476475114,1.1055977270007133,35.70081379890442,1000.0,0.6657213692825059,0.9993265993265993,10488,807,100,11,0.7552014937291217,0.0,0.7552014937291217,0.0,170.57928890652127,0.0,170.57928890652127,0.0,6230.965606291048,0.0,3.062478135975212,0.0,0.7180609251889918,0.0,0.8170025166538026,4.592479727268219,3.062478135975212,1.1190957150686094,0.7180609251889918,0.7552014937291217,7.676068000793457,280.39345228309713
