algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,20,3.0649808438595425,0.8680483128627141,0.49675274660189944,nan,0.7496862808863322,0.08459303246811033,1000.0,0.0,nan,0,30521,0,211,0.21350331376306714,0.001613553266506642,0.9137487229131196,0.0,0.8839447895685831,0.0,1.4539139991189147,0.0,206.0881113688151,0.0,4176.844362445438,0.0,0.9137487229131196,0.0,206.0881113688151,0.0,1.4539139991189147,1.1471322618243835,0.8839447895685831,0.9137487229131196,10.304405568440755,208.84221812227185
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,21,3.0649808438595425,0.8694853127002716,0.48726799021164574,nan,0.8682429268956184,0.08118030350655317,1000.0,0.0,nan,0,30603,0,207,0.12367097577468182,0.00172552265052218,0.9466879346145954,0.0,0.8320918654402097,0.0,1.4875432040650596,0.0,213.6582120259603,0.0,4476.763533289716,0.0,0.9466879346145954,0.0,213.6582120259603,0.0,1.4875432040650596,1.1500058762745589,0.8320918654402097,0.9466879346145954,8.546328481038412,179.07054133158866
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,22,3.0649808438595425,0.8706793111562728,0.47908304691314696,nan,0.9155779857384531,0.08435084102675319,1000.0,0.0,nan,0,31162,0,216,0.13032219630028857,0.001370935509330593,0.9237417445706183,0.0,0.8489469070183603,0.0,1.5421043424868397,0.0,208.28848186292146,0.0,4659.306455516972,0.0,0.9237417445706183,0.0,208.28848186292146,0.0,1.5421043424868397,1.1527850560740653,0.8489469070183603,0.9237417445706183,13.191603851318359,295.08940884940824
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,23,3.0649808438595425,0.8716859793663025,0.4715075957775116,nan,0.9560725482610556,0.08235331507399678,1000.0,0.0,nan,0,30465,0,209,0.15513204220825663,0.0013905800267821177,0.8826933114152806,0.0,0.8890421894880441,0.0,1.6063603310892252,0.0,199.41915306678186,0.0,4650.008376232637,0.0,0.8826933114152806,0.0,199.41915306678186,0.0,1.6063603310892252,1.1521065152429832,0.8890421894880441,0.8826933114152806,8.64149663289388,201.5003629700809
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,3.100161823503406,0.8725499773025512,0.4648876594503721,nan,0.7857926547527313,0.08161355573683977,1000.0,0.0,nan,0,30719,0,211,0.08019521857301394,0.0015071397926658392,0.9214656950355722,0.0,0.8285875181357066,0.0,1.661464098902279,0.0,207.96807047526042,0.0,4999.307529671894,0.0,0.9214656950355722,0.0,207.96807047526042,0.0,1.661464098902279,1.1508101682739087,0.8285875181357066,0.9214656950355722,10.39840352376302,249.96537648359478
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,3.229720195782609,0.8736776459217072,0.45835929572582246,nan,0.7278974254926046,0.08019220577552914,1000.0,0.0,nan,0,30649,0,209,0.09606573420266311,0.0012749046139651909,0.8386965827258375,0.0,0.9230922708908716,0.0,1.739217839824654,0.0,189.14338302612305,0.0,4665.478710803621,0.0,0.8386965827258375,0.0,189.14338302612305,0.0,1.739217839824654,1.1465759408548732,0.9230922708908716,0.8386965827258375,7.565735321044922,186.6191484321448
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,3.266090579530224,0.8746106447776159,0.4523837016026179,nan,0.8671140579076914,0.07964151902124286,1000.0,0.0,nan,0,30686,0,208,0.08745321020698892,0.0011954418109962717,0.896369780169298,0.0,0.8374710633204534,0.0,1.7992681974498737,0.0,202.14837059607873,0.0,4947.480840168584,0.0,0.896369780169298,0.0,202.14837059607873,0.0,1.7992681974498737,1.1435114920355471,0.8374710633204534,0.896369780169298,8.759762725830079,214.39083640730533
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,3.305505075087925,0.8753376454114914,0.4474401188890139,nan,0.9607957969693577,0.07896992525085807,1000.0,0.0,nan,0,31154,0,214,0.13172424818142592,0.0012827509670751169,0.8909890317362891,0.0,0.8328360424322241,0.0,1.8508861649922408,0.0,200.9927287382238,0.0,5231.3369047962515,0.0,0.8909890317362891,0.0,200.9927287382238,0.0,1.8508861649922408,1.1413894640923026,0.8328360424322241,0.8909890317362891,11.389587961832682,296.44242460512095
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,3.335308650633853,0.8760613117615382,0.44264253894488015,nan,0.8565603301805609,0.07885938698425889,1000.0,0.0,nan,0,31023,0,215,0.10811197686502162,0.0011078053701203316,0.8688681459834859,0.0,0.8503746530588936,0.0,1.9050859035178132,0.0,195.8148489559398,0.0,5084.801159701372,0.0,0.8688681459834859,0.0,195.8148489559398,0.0,1.9050859035178132,1.141384926435772,0.8503746530588936,0.8688681459834859,11.096174774169922,288.13873238307775
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,3.370974349797376,0.8766939773162206,0.4380659211675326,nan,0.8316042814403772,0.07930658210068942,1000.0,0.0,nan,0,31207,0,211,0.06916626556630945,0.001282551814801991,0.8769833086413343,0.0,0.8279753997921944,0.0,1.9504413262484512,0.0,197.66289234161377,0.0,5437.757034897688,0.0,0.8769833086413343,0.0,197.66289234161377,0.0,1.9504413262484512,1.1409125012496435,0.8279753997921944,0.8769833086413343,10.542020924886067,290.0137085278767
