algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,D_threshold_honest,D_threshold_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,20,1.0623545611125644,0.7562347806692123,0.7090285280942917,nan,0.048000590077468326,0.0,1000.0,nan,nan,0,0,0,296,1.0075595442737852,0.0,0.0,0.0,0.14059557130963707,0.0,1.0623545611125642,0.0,1.7733400293758936,0.0,1.0623545611125642,2.220446049250313e-16,0.6,0.9848363452903114,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,21,1.1045192595593831,0.7581001803874969,0.7011722639799118,nan,0.046602933534554074,0.0,1000.0,nan,nan,0,0,0,160,1.338513726279849,0.0,0.0,0.0,0.15847922116955415,0.0,1.1045192595593836,0.0,2.190300703048706,0.0,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9843627107667156,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,22,1.148899646893674,0.7599663819074631,0.6937811102867126,nan,0.04611012991517782,0.0,1000.0,0.0,nan,0,1,0,299,1.238674453326634,0.0,0.03571428571428571,0.0,0.14994936456893235,0.0,1.1488996468936743,0.0,1.911950992686408,0.0,1.1488996468936743,2.220446049250313e-16,0.63,0.9835264829108448,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,23,1.1932226547715872,0.7617781820297241,0.6870841056108474,nan,0.04402334615588188,0.0,1000.0,0.0,nan,0,2,0,150,1.1979889188494002,0.0,0.09523809523809523,0.0,0.1453026220158189,0.0,1.193222654771587,0.0,2.0401678255626132,0.0,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9830879224064798,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,24,1.2237170788729461,0.7634307806491851,0.6807197573184967,nan,0.04300377182662487,0.0,1000.0,0.0,nan,0,1,0,145,1.2019055604934692,0.0,0.05,0.0,0.1429189426806155,0.0,1.2237170788729463,0.0,2.014542418718338,0.0,1.2237170788729463,2.220446049250313e-16,0.66,0.9826576175715258,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,25,1.255370164114324,0.7649829802513123,0.6750375618934631,nan,0.04340548970197376,0.0,1000.0,nan,nan,0,0,0,142,0.8838550166079873,0.0,0.0,0.0,0.11084676489151443,0.0,1.2553701641143242,0.0,1.7534104209197194,0.0,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9822450779812284,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,26,1.2882265209338715,0.7663199805021286,0.6695338592529297,nan,0.0424326690421863,0.0,1000.0,0.0,nan,0,5,0,179,1.2531118447130376,0.0,0.22727272727272727,0.0,0.15073116374043227,0.0,1.288226520933872,0.0,1.9261164177547803,0.0,1.288226520933872,4.440892098500626e-16,0.69,0.9817200430284938,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,27,1.3223351707503768,0.7678001798391342,0.6646629824638367,nan,0.04021412005218176,0.0,1000.0,0.0,nan,0,7,0,307,1.1866910125200565,0.0,0.2692307692307692,0.0,0.1422594999980416,0.0,1.3223351707503765,0.0,1.7045061038090632,0.0,1.3223351707503765,2.220446049250313e-16,0.705,0.9807993635989285,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,28,1.3577503788831171,0.7691737804412841,0.6599209228754044,nan,0.040115870949294835,0.0,1000.0,0.0,nan,0,2,0,290,0.9761932977923641,0.0,0.07407407407407407,0.0,0.11806522997819106,0.0,1.3577503788831173,0.0,1.41517941598539,0.0,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9799520097153168,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,29,1.3945327218869124,0.7704229805469512,0.6554503071308136,nan,0.03990671375677699,0.0,1000.0,nan,nan,0,0,0,162,1.095419475010463,0.0,0.0,0.0,0.11865695833132876,0.0,1.3945327218869124,0.0,1.6214511053902763,0.0,1.3945327218869124,0.0,0.735,0.979473359791427,0.0
trust-aware,scale,fashion_mnist,42,500,0,1.1,2.0,0.05,iid,1.0,500,30,1.4327504734265042,0.7716639817953109,0.6512753875255585,nan,0.03922309901099652,0.0,1000.0,0.0,nan,0,7,0,387,1.0447961408644915,0.0,0.21875,0.0,0.13193945856210282,0.0,1.4327504734265044,0.0,1.378983300179243,0.0,1.4327504734265044,2.220446049250313e-16,0.75,0.9783231272407021,0.0
