algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,S_agg_norm_honest,S_agg_norm_attacker,V_agg_norm_honest,V_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,113,5.297900042856843,0.7974659797549247,0.5876239790022373,0.9972727723508702,0.0267036996781826,nan,1000.0,0.9283422459893048,1.0,10535,639,0,236,25.56,105.35,5.297900042856844,0.0,0.5851005566120148,nan,0.3405345642566681,nan,0.04036860834985068,0.0,5.297900042856844,8.881784197001252e-16,1.995,0.9180312542778968,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,114,5.344087390883105,0.797342730164528,0.5881220516562462,1.0,0.024787105885999545,nan,1000.0,0.9375,1.0,10799,900,0,157,42.857142857142854,107.99,5.3440873908831055,0.0,0.6627323286873954,nan,0.4170821351664407,nan,0.038649582964121174,0.0,5.3440873908831055,8.881784197001252e-16,2.01,0.917501136218598,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,115,5.391070942635641,0.7976342299580574,0.5879004654288292,1.0,0.026085911598056555,nan,1000.0,1.0,1.0,10507,607,0,152,30.35,105.07,5.3910709426356425,0.0,0.6513672292232513,nan,0.3557474225759506,nan,0.03767296728759097,0.0,5.3910709426356425,1.7763568394002505e-15,2.025,0.916966606549184,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,116,5.4388664510187725,0.7975834801793098,0.5883527854084969,0.9935550809442368,0.02538414392620325,nan,1000.0,0.6788060897435897,1.0,10393,503,0,300,19.346153846153847,103.93,5.438866451018773,0.0,0.5409762332072625,nan,0.3568279869281329,nan,0.03887260861676422,0.0,5.438866451018773,8.881784197001252e-16,2.04,0.9159529265249218,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,117,5.48749013258289,0.7976514784991742,0.5886690340936184,0.9993243243243244,0.02463077666128383,nan,1000.0,0.7262952101661779,1.0,10363,467,0,106,27.470588235294116,103.63,5.487490132582891,0.0,0.8062393209513496,nan,0.48773547305780296,nan,0.04144665885894485,0.0,5.487490132582891,8.881784197001252e-16,2.055,0.9155377886415149,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,118,5.536958684228259,0.7976809798181057,0.5891226032376289,0.9949999999999999,0.024661771118127066,nan,1000.0,0.9004329004329005,1.0,10492,595,0,375,20.517241379310345,104.92,5.536958684228259,0.0,0.48964548830328314,nan,0.32115908429540435,nan,0.03609458761452216,0.0,5.536958684228259,0.0,2.07,0.9143326867263845,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,119,5.5872893005602045,0.7974932295084,0.5898118616640567,0.9977272727272728,0.025503635152497074,nan,1000.0,0.8849206349206349,1.0,10151,253,0,238,11.5,101.51,5.587289300560204,0.0,0.5526520907878876,nan,0.3614295301112262,nan,0.04080291876087211,0.0,5.587289300560204,8.881784197001252e-16,2.085,0.9134621631595997,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,120,5.638499691921221,0.797722978591919,0.5900723515450954,1.0,0.024358605822691552,nan,1000.0,1.0,1.0,10708,808,0,256,31.076923076923077,107.08,5.63849969192122,0.0,0.5586443039087149,nan,0.3477443531155586,nan,0.036773736598084715,0.0,5.63849969192122,8.881784197001252e-16,2.1,0.9125811473031947,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,121,5.690608103126535,0.7976349799335003,0.5908047880232334,0.9967532467532468,0.024344127314786117,nan,1000.0,0.9109195402298851,1.0,10564,667,0,219,27.791666666666668,105.64,5.690608103126535,0.0,0.5758520935972532,nan,0.3284435284634431,nan,0.035360285705833015,0.0,5.690608103126535,0.0,2.115,0.9118763318719826,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,122,5.743633332930533,0.7978999802470207,0.5905487607419491,0.9824915824915825,0.022996339554849424,nan,1000.0,0.8958974358974359,1.0,10538,641,0,125,33.73684210526316,105.38,5.743633332930534,0.0,0.6686470477204574,nan,0.373794276463358,nan,0.038699434739198145,0.0,5.743633332930534,8.881784197001252e-16,2.13,0.9114361286845701,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,123,5.797594754252546,0.7977497297525405,0.5911702679097652,1.0,0.02350529267763098,nan,1000.0,1.0,1.0,10120,220,0,66,18.333333333333332,101.2,5.797594754252544,0.0,0.6797891656557719,nan,0.36658145984013873,nan,0.03310056344670987,0.0,5.797594754252544,1.7763568394002505e-15,2.145,0.9112184239032564,nan
trust-aware,scale,fashion_mnist,42,500,100,1.1,2.0,0.05,iid,1.0,50,124,5.852512335191406,0.7978604803979397,0.591666030138731,1.0,0.025271947379224002,nan,1000.0,0.9090909090909091,1.0,10372,473,0,105,29.5625,103.72,5.852512335191407,0.0,0.6430128179490566,nan,0.3651377744972706,nan,0.035984954949405436,0.0,5.852512335191407,8.881784197001252e-16,2.16,0.9108203492174745,nan
