algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,krum_score_honest,krum_score_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,5.828091133818005,0.8822083109617234,0.396273547510306,0.8369847240198195,1.34238910228014,941.0239031982422,1000.0,0.4505826041967677,1.0,30383,630,71,146,0.34719972014427186,8.013246439993381,6345.7338871621205,0.0,0.639301947746784,0.0,144.2974708557129,0.0,3.9284992093459685,0.0,144.2974708557129,0.0,0.639301947746784,0.0,0.7845464408397674,0.0,3.9284992093459685,1.188597860260686,0.7845464408397674,0.639301947746784,9.61983139038086,423.04892581080804
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,5.8677507460566884,0.8822959772745769,0.39537546863158546,0.8272132275573433,1.5413699263618106,1006.6648068237305,1000.0,0.5689158613861182,1.0,30675,823,23,195,0.7082983255386353,3.275761191546917,6176.436214154113,0.0,0.6430153268062495,0.0,144.93634105864027,0.0,4.021111661232738,0.0,144.93634105864027,0.0,0.6430153268062495,0.0,0.7466933471815926,0.0,4.021111661232738,1.1820188416554331,0.7466933471815926,0.6430153268062495,10.145543874104817,432.3505349907879
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,69,5.8677507460566884,0.8799649774531524,87.98857356746991,0.9875762319554082,0.9297054641776614,1033.284231185913,1000.0,0.4347543228899161,0.9973958333333334,30096,263,121,82,2.8932560218705072,12.155469281673431,6320.48450962591,0.0,0.623714903968443,0.0,141.04550509982639,0.0,4.055376579138225,0.0,141.04550509982639,0.0,0.623714903968443,0.0,0.7819865014817979,0.0,4.055376579138225,1.1721103379854738,0.7819865014817979,0.623714903968443,4.231365152994791,189.61453528877732
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,70,5.8677507460566884,0.8797406442215046,6.114003216822942,0.9450793650793651,1.6979049518704414,1148.356778869629,1000.0,0.33662731657781164,1.0,29875,154,172,31,2.601636305451393,161.76369411230087,6197.654108179286,0.0,0.6258493289121809,0.0,141.0134735107422,0.0,4.089599169982251,0.0,141.0134735107422,0.0,0.6258493289121809,0.0,0.7452007010579109,0.0,4.089599169982251,1.1758865268658356,0.7452007010579109,0.6258493289121809,3.760359293619792,165.2707762181143
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,71,6.22648715174656,0.8799783125519752,1.9516934131582577,0.7908870236681687,1.2839182138442993,1682.897443885803,1000.0,0.5792108977662447,1.0,30036,279,145,60,0.9397666096687317,2461.5626072213054,5636.9762966521,0.0,0.6423651059979693,0.0,144.80333404541017,0.0,4.1234793022953165,0.0,144.80333404541017,0.0,0.6423651059979693,0.0,0.703118984401226,0.0,4.1234793022953165,1.1836499260672237,0.703118984401226,0.6423651059979693,4.826777801513672,187.89920988840336
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,72,6.22648715174656,0.8802839784324169,2.103039579093456,0.9478035721794704,1.4518544991811118,2926.9383376693727,1000.0,0.4829472655420442,1.0,30376,503,65,146,0.9961496671040853,1108.7152013543248,6217.8511310180975,0.0,0.6401609179978249,0.0,144.64682210286458,0.0,4.179959988855929,0.0,144.64682210286458,0.0,0.6401609179978249,0.0,0.7181250194708506,0.0,4.179959988855929,1.190827096360899,0.7181250194708506,0.6401609179978249,7.232341105143229,310.8925565509049
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,73,6.22648715174656,0.8803239786128203,1.534570387005806,0.9116005658437584,1.5682304412126542,3445.5620782852175,1000.0,0.5050605994744385,1.0,30459,667,59,157,1.200585375726223,54.68948209613561,6147.636999671269,0.0,0.6352454395424953,0.0,143.42604904174806,0.0,4.247579703639182,0.0,143.42604904174806,0.0,0.6352454395424953,0.0,0.7102581858634949,0.0,4.247579703639182,1.2006148548544278,0.7102581858634949,0.6352454395424953,9.561736602783203,409.8424666447513
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,74,6.22648715174656,0.8808296447992325,1.3138260168830553,0.8760137966521675,1.454693474372228,3537.430407142639,1000.0,0.6900116730577496,1.0,30515,594,31,180,1.0411862472693125,5.997686541229487,6442.474566439666,0.0,0.6175543193555039,0.0,139.13893432617186,0.0,4.315681115853087,0.0,139.13893432617186,0.0,0.6175543193555039,0.0,0.7504927237828573,0.0,4.315681115853087,1.1822743242030338,0.7504927237828573,0.6175543193555039,6.956946716308594,322.1237283219833
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,75,6.22648715174656,0.8809843109051386,0.9897362207372983,0.9220921230830343,1.5356785144124712,3562.2126179122924,1000.0,0.5564420830545086,1.0,30401,480,43,168,0.8141855256898063,8.336877957880496,6707.358262237156,0.0,0.6445686071456895,0.0,145.48391178676061,0.0,4.352222586435389,0.0,145.48391178676061,0.0,0.6445686071456895,0.0,0.6779819130897522,0.0,4.352222586435389,1.1833094377304119,0.6779819130897522,0.6445686071456895,6.789249216715495,313.01005223773393
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,76,6.287443267044094,0.8807703106602033,0.7826432259877523,0.9071229883280246,1.7074754536151886,3598.9428805541993,1000.0,0.5306340637306263,1.0,30426,561,63,150,1.1843641512095928,1984.8322362536192,5888.91031853,0.0,0.625063066127933,0.0,141.02722263336182,0.0,4.406699737663067,0.0,141.02722263336182,0.0,0.625063066127933,0.0,0.7355010574683547,0.0,4.406699737663067,1.1725161857504613,0.7355010574683547,0.625063066127933,7.521451873779297,314.0752169882667
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,77,6.287443267044094,0.8811319772402445,0.6568906244635582,0.89221745457232,1.646577016395681,4319.5119682693485,1000.0,0.33624775973708754,1.0,30121,435,120,92,1.8551188146366793,485.50597834169866,6144.2049473359075,0.0,0.625909921427544,0.0,141.20488155589385,0.0,4.45952266826668,0.0,141.20488155589385,0.0,0.625909921427544,0.0,0.6882315523484174,0.0,4.45952266826668,1.1768149474184075,0.6882315523484174,0.625909921427544,8.001609954833985,348.1716136823681
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,78,6.287443267044094,0.8814866429567337,0.5145986198385557,0.9589140916203838,1.8522710529240696,4566.681946487427,1000.0,0.7556009435208977,1.0,30496,471,17,190,3.2266864993355493,8.107452273368835,6113.304645418524,0.0,0.6082517004762402,0.0,137.3564786044034,0.0,4.484509603922098,0.0,137.3564786044034,0.0,0.6082517004762402,0.0,0.7438975355841897,0.0,4.484509603922098,1.1877616246370328,0.7438975355841897,0.6082517004762402,5.036404215494792,224.15450366534589
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,79,6.287443267044094,0.880798310637474,0.6268123917778333,0.7915657494122763,1.3825856521725655,4592.275091972351,1000.0,0.5601360866197609,1.0,30271,515,104,108,0.8062855787575245,17073.73295168698,6453.1990170955005,0.0,0.6148065634804736,0.0,138.62242317199707,0.0,4.5473145502851215,0.0,138.62242317199707,0.0,0.6148065634804736,0.0,0.7366526927798986,0.0,4.5473145502851215,1.165599206212382,0.7366526927798986,0.6148065634804736,7.393195902506511,344.17061424509336
