algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,74,5.3675224895201135,0.337570991486311,3.0873944845199586,0.0,4.486740099906921,0.0,4.0,0.0,0.0,39.66563367843628,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,75,5.397917967662626,0.3383107911944389,3.1054207887649534,0.0,4.486355334281922,0.0,4.0,0.0,0.0,39.674804834219124,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,76,5.428313445805139,0.3400369913876057,3.1108620080947875,0.0,4.488149428367615,0.0,4.0,0.0,0.0,39.735105968656995,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,77,5.458708923947651,0.34203299099206924,3.1134125413894655,0.0,4.486742497444153,0.0,4.0,0.0,0.0,39.76743698120117,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,78,5.489104402090164,0.3426361912488937,3.1322561593055727,0.0,4.487349356651306,0.0,4.0,0.0,0.0,39.83745574951172,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,79,5.519499880232677,0.3444835914671421,3.1393274846076964,0.0,4.487235405921936,0.0,4.0,0.0,0.0,39.706561868841,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,80,5.549895358375189,0.346519191712141,3.145632012844086,0.0,4.48635800075531,0.0,4.0,0.0,0.0,39.74292319161551,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,81,5.580290836517702,0.34769259178638456,3.15947652053833,0.0,4.486899264335633,0.0,4.0,0.0,0.0,39.72923065185547,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,82,5.610686314660215,0.3496233911514282,3.165237183570862,0.0,4.487322495460511,0.0,4.0,0.0,0.0,39.85788865522905,0.0
dpsgd-kurtosis,scale,mnist,42,500,0,0.85,0.0234,0.05,iid,1.0,10,83,5.641081792802727,0.35120539140701296,3.1733206057548524,0.0,4.486710283279419,0.0,4.0,0.0,0.0,39.753829383850096,0.0
