algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.8803109782934189,0.4165538435180982,nan,0.03225520271807909,0.03489306787028909,,nan,nan,0,0,0,30930,5.852854172388713,5.807792201042175,9.146853577805985,9.076430628302385,45.666666666666664,151.91
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.8807863124211629,0.41399423211812975,nan,0.03173024129743377,0.03439921816810965,,nan,nan,0,0,0,30268,5.862978285009211,5.8197895979881284,9.101794223160201,9.034747319193418,20.636363636363637,150.205
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.8811726438999176,0.41159596780935925,nan,0.031187879803280034,0.033888236796483395,,nan,nan,0,0,0,31402,5.877877910931905,5.831564583778381,9.064294168767598,8.99287424007647,38.375,152.405
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.8814929775396982,0.40928253322839736,nan,0.030749487994859617,0.0333373305760324,,nan,nan,0,0,0,30658,5.887563265286959,5.843133499622345,9.018903097595972,8.950843064417114,33.07692307692308,151.14
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.8818356434504191,0.4070866695046425,nan,0.030066669825464486,0.03296122746542096,,nan,nan,0,0,0,31066,5.903557999928792,5.854502372741699,8.983315892430427,8.9086690107824,42.733333333333334,152.125
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.8822529774904251,0.40504555652538937,nan,0.029680179034670195,0.03271745474077761,,nan,nan,0,0,0,31426,5.912066169407057,5.865677123069763,8.936486978496566,8.866366804489843,39.43478260869565,152.595
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.8824866451819737,0.4031668640176455,nan,0.029304106732209522,0.03207065610215068,,nan,nan,0,0,0,31316,5.926808186939785,5.876648190021515,8.89924403806357,8.823927604758397,53.714285714285715,152.82
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.8827409770091375,0.40141432791948317,nan,0.028907860356072585,0.031781618017703295,,nan,nan,0,0,0,31224,5.940743128458659,5.887475576400757,8.860897687160893,8.781446628829567,41.388888888888886,152.395
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.883024978240331,0.3997930803894997,nan,0.028496725286046663,0.03152736430056393,,nan,nan,0,0,0,31312,5.95061797565884,5.898154280185699,8.816652441368456,8.738920318306857,43.833333333333336,152.615
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.8832899765173594,0.3982521711786588,nan,0.02806673587610324,0.030979485204443335,,nan,nan,0,0,0,31786,5.959459690820603,5.9086447429656985,8.771083412512027,8.696294393144324,50.38095238095238,153.64
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.8836069784561793,0.3966631648937861,nan,0.02768812091400226,0.03067648984491825,,nan,nan,0,0,0,30978,5.978048714724454,5.919000329971314,8.739981387212,8.653651916122845,50.72727272727273,152.1
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.8837709784507751,0.3953792307774226,nan,0.027361715622246267,0.030373256569728255,,nan,nan,0,0,0,31756,5.988467721378102,5.929233243465424,8.697040138851179,8.611014020655468,58.294117647058826,153.825
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.8840399793783824,0.39406186789274217,nan,0.027014488310863574,0.030004910184070466,,nan,nan,0,0,0,30596,5.9888154376636855,5.939330377578735,8.639754342353207,8.568364805106533,34.54545454545455,151.08
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.8842639772097269,0.3927478531996409,nan,0.026674367853750786,0.029813263509422542,,nan,nan,0,0,0,30688,6.008527105504816,5.949297246932983,8.610595603051005,8.525715506675853,38.81818181818182,151.305
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.8842023104429245,0.392365517616272,nan,0.026178354906539122,0.5887385189533234,,nan,0.0,0,0,30411,605,6.024019922528948,5.761506407260895,8.575437209173641,8.201738550189862,43.214285714285715,152.055
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.883298643231392,0.3940007221698761,nan,0.026054816587517658,1.6970161971449853,,nan,0.0,0,0,30384,530,6.034767280925404,5.794294581413269,8.53365541567314,8.193607314564163,48.18181818181818,151.92
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.8721449784437816,0.4667690866192182,0.9062871768403509,0.027466924221565325,12.467805826663971,,1.0,0.8383130982820967,6317,0,24083,580,6.047752930567815,14.433688764572144,8.495194356934649,20.274801690854122,10.923076923076923,122.605
balance,scale,mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.8837343108654022,0.3922697724898656,1.0,0.039112277111659446,102.89331260681152,,1.0,1.0,6684,0,23671,551,6.057149291038513,110.52437936782837,8.451859327671,154.22048587725473,8.0,120.63
