algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,D_threshold_honest,D_threshold_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_n_honest,eps_n_attacker,n_rejected_honest,n_rejected_attacker,V_agg_norm_honest,V_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.8658739784359932,0.5093778869509697,nan,0.04986923102002878,0.05418709632009268,1000.0,nan,nan,0,81,0,51057,0.154026640729305,0.13642459673974008,1.0991540597035334,0.5055685381094615,1.0623545611125642,1.0623545611125644,0.0,0.27,0.6711005706053513,0.26782497550050416,1.0623545611125642,2.220446049250313e-16,0.6,0.9843120987217574,0.74746330445906
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.8673084780573845,0.4992242522537708,nan,0.04827190988830158,0.051833340128262836,1000.0,nan,nan,0,94,0,50532,0.1553271846076589,0.12773701712782218,1.1007005998066492,0.4635644560058912,1.1045192595593836,1.1045192595593833,0.0,0.31333333333333335,0.6699473559856415,0.2476833842198054,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.98399143244866,0.7438095546113803
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.8686209782958031,0.4898990149796009,nan,0.04640078831177492,0.04991082863261302,1000.0,0.0,nan,0,258,0,51096,0.15937558059557613,0.12031038280458395,0.9459531261370733,0.4345685643951098,1.1488996468936743,1.148899646893674,0.07692307692307693,0.8566666666666667,0.6324380361116849,0.2307154676814874,1.1488996468936743,2.220446049250313e-16,0.63,0.9829484768769354,0.7415485156752215
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.8698084768652916,0.4815995119512081,nan,0.04526915494352579,0.04809424232691526,1000.0,0.0,nan,0,137,0,50359,0.17498779626581012,0.11391732598891238,1.1251279041171074,0.4106810310482979,1.1932226547715867,1.193222654771587,0.25,0.45,0.7936010994017124,0.2173738727470239,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.9824714078696236,0.7407485203511802
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.870778477191925,0.4742320653796196,nan,0.04338803421705961,0.04656661231070757,1000.0,nan,nan,0,141,0,50471,0.13968088224844266,0.1083572586376648,0.9533182233572006,0.3934766621390979,1.2237170788729461,1.2237170788729463,0.0,0.47,0.5736680626869202,0.20670187120636305,1.2237170788729463,2.220446049250313e-16,0.66,0.9820023704424783,0.7386698501720348
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.8718569794297218,0.4674613106250763,nan,0.04198138705558247,0.04499253681550423,1000.0,nan,nan,0,85,0,50905,0.13567719880576665,0.10338687854763359,0.7932048208183713,0.38395184099674223,1.2553701641143242,1.2553701641143242,0.0,0.2833333333333333,0.5185557421710756,0.19902702634533245,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9815086451104619,0.7311379044020605
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.8728229784965515,0.4610038360953331,nan,0.040918376917640366,0.043629955450693765,1000.0,nan,nan,0,44,0,50454,0.1394868817676004,0.09893529358265636,1.0337602744499843,0.3627542007962863,1.2882265209338717,1.2882265209338717,0.0,0.14666666666666667,0.6449599713087082,0.18977715820074081,1.288226520933872,4.440892098500626e-16,0.69,0.9812995230451925,0.7273072220265311
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.8736074775457382,0.4554149749875069,nan,0.040049864186180964,0.04254889520506064,1000.0,nan,nan,0,226,0,50842,0.14199741702521573,0.09494197809106358,0.737058636214998,0.34029736548662187,1.3223351707503763,1.3223351707503765,0.0,0.7533333333333333,0.5435370008150736,0.17943585594495137,1.3223351707503765,2.220446049250313e-16,0.705,0.9807979792070478,0.7289950727906411
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.8744254767894745,0.4501870857179165,nan,0.03917855992913246,0.04155124322821697,1000.0,0.0,nan,0,149,0,50643,0.12315376720670472,0.09134373378859581,0.777765291929245,0.3309050307671229,1.3577503788831173,1.3577503788831171,0.2,0.49,0.4903757438063622,0.17251199101408324,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9800944507665837,0.7261749274151722
trust-aware,scale,mnist,42,500,300,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.8751329800486565,0.4452334278821945,nan,0.03822129964828491,0.040461905958751834,1000.0,nan,nan,0,213,0,50479,0.14156191529155593,0.08800527846386592,0.7226709648966789,0.3180883556604385,1.3945327218869124,1.3945327218869126,0.0,0.71,0.5372897777706385,0.16604120249549548,1.3945327218869124,0.0,0.735,0.97963010384905,0.7248745227076863
