algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,S_agg_norm_honest,S_agg_norm_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,20,1.0623545611125644,0.8654646468162537,0.5100677715738614,nan,0.05001457408070564,0.055503125060349705,1000.0,nan,nan,0,80,0,30652,0.0,0.4,1.0623545611125644,1.0623545611125642,0.1494690707352603,0.13981422717286193,0.8657608191172282,0.2905321362614632,1.479374063014984,0.5458538095653057,1.0623545611125642,2.220446049250313e-16,0.6,0.9855002265888966,0.7499659064001122
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,21,1.1045192595593831,0.8670173114538193,0.49984187960624693,nan,0.048763773404061794,0.052890261467546225,1000.0,nan,nan,0,167,0,30643,0.0,0.835,1.1045192595593833,1.1045192595593836,0.17119030334896443,0.13094755384521342,0.8565811117490133,0.26571353934705255,1.450330783923467,0.49316208332777023,1.1045192595593836,4.440892098500626e-16,0.6149999999999999,0.9850794189172277,0.7498687688210134
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,22,1.148899646893674,0.8683969791730245,0.4906884700059891,nan,0.04660643970495776,0.051011227909475564,1000.0,0.0,nan,0,217,0,31161,0.05263157894736842,1.08,1.148899646893674,1.1488996468936743,0.15825924049896936,0.12322688720517683,0.7746614343241641,0.2511166187375784,1.2140251837278668,0.4764535544812679,1.1488996468936743,2.220446049250313e-16,0.63,0.9840623745676399,0.7458778105841285
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,23,1.1932226547715872,0.869571312268575,0.48246314853429795,nan,0.04416927494681799,0.04916422463953495,1000.0,0.0,nan,0,152,0,30522,0.15384615384615385,0.75,1.193222654771587,1.1932226547715867,0.15817260752773754,0.11642944213340424,0.8607012663896267,0.23748537942767142,1.4058960997141325,0.45221805706620216,1.193222654771587,2.220446049250313e-16,0.6450000000000001,0.983570189995102,0.7408370340703497
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,24,1.2237170788729461,0.870523978471756,0.4750193120042483,nan,0.043409183124701184,0.04745295086875558,1000.0,nan,nan,0,229,0,30701,0.0,1.145,1.2237170788729463,1.2237170788729461,0.15273569355561845,0.11050979757752362,0.7607603440682094,0.22559538416564465,1.1623446742693584,0.43148997113108634,1.2237170788729463,2.220446049250313e-16,0.66,0.9828948181171849,0.7361335676015572
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,25,1.255370164114324,0.8715809790293375,0.4682308903336525,nan,0.04169318421433369,0.04586621474474668,1000.0,nan,nan,0,28,0,30830,0.0,0.14,1.2553701641143242,1.2553701641143242,0.12196649010464522,0.10531024752096345,0.6116630807518959,0.2170347622036934,1.09319702287515,0.41645898461341857,1.2553701641143242,2.220446049250313e-16,0.6749999999999999,0.9824805683398413,0.727571425566957
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,26,1.2882265209338715,0.8725389774640401,0.4618820373217265,nan,0.04129789712337347,0.044411847554147246,1000.0,0.0,nan,0,235,0,30659,0.38461538461538464,1.15,1.2882265209338717,1.2882265209338717,0.15025226019219254,0.10068680719533173,0.7050447108653876,0.2049190792441368,1.141779193511376,0.38985776364803315,1.288226520933872,4.440892098500626e-16,0.69,0.9819836170790042,0.7247690471895154
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,27,1.3223351707503768,0.8733483125766118,0.45633902857700986,nan,0.03988975593272377,0.04320940963923931,1000.0,0.0,nan,0,287,0,31081,0.17647058823529413,1.42,1.3223351707503765,1.3223351707503763,0.1560965708161991,0.0964952185328615,0.798317659427138,0.19510206669569016,1.068907825385823,0.37501985266804694,1.3223351707503765,2.220446049250313e-16,0.705,0.9809502050988361,0.7201276591976907
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,28,1.3577503788831171,0.8742076432704926,0.45100342293580375,nan,0.038737698074649364,0.042234911024570464,1000.0,0.0,nan,0,199,0,31039,0.11764705882352941,0.985,1.3577503788831171,1.3577503788831173,0.11460702964253365,0.09272302364356498,0.5476331745876986,0.18851720221340657,0.9095056688084322,0.3631244742870331,1.3577503788831173,2.220446049250313e-16,0.7200000000000001,0.9801241089975375,0.7125122071555169
trust-aware,scale,mnist,42,500,200,1.1,2.0,0.05,iid,1.0,50,29,1.3945327218869124,0.8749579785267512,0.4460681403676669,nan,0.037691364996135235,0.0411852085776627,1000.0,nan,nan,0,268,0,31150,0.0,1.34,1.3945327218869126,1.3945327218869124,0.1316211692942684,0.08930084979867271,0.6007449142634869,0.1787287612259388,0.8715001214295626,0.3403153398633003,1.3945327218869124,0.0,0.735,0.9794442386579051,0.7096971981547753
